timestamp	max	min	average
390046	19	17	18
390247	19	17	18
390488	19	17	18
390647	19	17	18
390848	19	17	18
391048	19	17	18
391248	19	17	18
391449	19	17	18
391649	19	17	18
391849	19	17	18
392050	19	17	18
392250	19	17	18
392450	19	17	18
392651	19	17	18
392851	19	17	18
393052	19	17	18
393252	19	17	18
393452	19	17	18
393653	19	17	18
393853	19	17	18
394053	19	17	18
394254	19	17	18
394454	19	17	18
394654	19	17	18
394855	19	17	18
395055	19	17	18
395255	19	17	18
395456	19	17	18
395656	19	17	18
395856	19	17	18
396057	19	17	18
396257	19	17	18
396457	19	17	18
396658	19	17	18
396858	19	17	18
397058	19	17	18
397259	19	17	18
397459	19	17	18
397659	19	17	18
397860	19	17	18
398060	19	17	18
398261	19	17	18
398461	19	17	18
398661	19	17	18
398862	19	17	18
399062	19	17	18
399262	19	17	18
399463	19	17	18
399663	19	17	18
399863	19	17	18
400064	19	17	18
400264	19	17	18
400464	19	17	18
400665	19	17	18
400865	19	17	18
401066	19	17	18
401266	19	17	18
401466	19	17	18
401667	19	17	18
401867	19	17	18
402067	19	17	18
402268	19	17	18
402468	19	17	18
402668	19	17	18
402869	19	17	18
403069	19	17	18
403269	19	17	18
403470	19	17	18
403670	19	17	18
403870	19	17	18
404071	19	17	18
404271	19	17	18
404471	19	17	18
404672	19	17	18
404872	19	17	18
405072	19	17	18
405273	19	17	18
405473	19	17	18
405673	19	17	18
405874	19	17	18
406074	19	17	18
406275	19	17	18
406475	19	17	18
406675	19	17	18
406875	19	17	18
407076	19	17	18
407276	19	17	18
407477	19	17	18
407677	19	17	18
407877	19	17	18
408077	19	17	18
408278	19	17	18
408478	19	17	18
408678	19	17	18
408879	19	17	18
409079	19	17	18
409280	19	17	18
409480	19	17	18
409680	19	17	18
409881	19	17	18
410081	19	17	18
410281	19	17	18
410482	19	17	18
410682	19	17	18
410882	19	17	18
411083	19	17	18
411283	19	17	18
411483	19	17	18
411684	19	17	18
411884	19	17	18
412085	19	17	18
412285	19	17	18
412485	19	17	18
412686	19	17	18
412886	19	17	18
413086	19	17	18
413287	19	17	18
413487	19	17	18
413687	19	17	18
413888	19	17	18
414088	19	17	18
414289	19	17	18
414489	19	17	18
414689	19	17	18
414890	19	17	18
415090	19	17	18
415290	19	17	18
415491	19	17	18
415691	19	17	18
415892	19	17	18
416092	19	17	18
416292	19	17	18
416493	19	17	18
416693	19	17	18
416893	19	17	18
417094	19	17	18
417294	19	17	18
417494	19	17	18
417695	19	17	18
417895	19	17	18
418095	19	17	18
418296	19	17	18
418496	19	17	18
418697	19	17	18
418897	19	17	18
419097	19	17	18
419298	19	17	18
419498	19	17	18
419698	19	17	18
419899	19	17	18
420099	19	17	18
420300	19	17	18
420500	19	17	18
420700	19	17	18
420901	19	17	18
421101	19	17	18
421302	19	17	18
421502	19	17	18
421702	19	17	18
421903	19	17	18
422103	19	17	18
422303	19	17	18
422504	19	17	18
422704	19	17	18
422904	19	17	18
423105	19	17	18
423305	19	17	18
423506	19	17	18
423706	19	17	18
423906	19	17	18
424107	19	17	18
424307	19	17	18
424507	19	17	18
424708	19	17	18
424908	19	17	18
425109	19	17	18
425309	19	17	18
425509	19	17	18
425710	19	17	18
425910	19	17	18
426111	19	17	18
426311	19	17	18
426511	19	17	18
426712	19	17	18
426912	19	17	18
427112	19	17	18
427313	19	17	18
427513	19	17	18
427713	19	17	18
427914	19	17	18
428114	19	17	18
428314	19	17	18
428515	19	17	18
428715	19	17	18
428916	19	17	18
429116	19	17	18
429316	19	17	18
429517	19	17	18
429717	19	17	18
429917	19	17	18
430118	19	17	18
430318	19	17	18
430518	19	17	18
430719	19	17	18
430919	19	17	18
431119	19	17	18
431320	19	17	18
431520	19	17	18
431721	19	17	18
431921	19	17	18
432121	19	17	18
432322	19	17	18
432522	19	17	18
432722	19	17	18
432923	19	17	18
433123	19	17	18
433323	19	17	18
433524	19	17	18
433724	19	17	18
433925	19	17	18
434125	19	17	18
434325	19	17	18
434526	19	17	18
434726	19	17	18
434926	19	17	18
435127	19	17	18
435327	19	17	18
435528	19	17	18
435728	19	17	18
435928	19	17	18
436129	19	17	18
436329	19	17	18
436529	19	17	18
436730	19	17	18
436930	19	17	18
437131	19	17	18
437331	19	17	18
437531	19	17	18
437732	19	17	18
437932	19	17	18
438133	19	17	18
438333	19	17	18
438533	19	17	18
438734	19	17	18
438934	19	17	18
439134	19	17	18
439335	19	17	18
439535	19	17	18
439735	19	17	18
439936	19	17	18
440136	19	17	18
440336	19	17	18
440537	19	17	18
440737	19	17	18
440938	19	17	18
441138	19	17	18
441338	19	17	18
441539	19	17	18
441739	19	17	18
441939	19	17	18
442140	19	17	18
442340	19	17	18
442540	19	17	18
442741	19	17	18
442941	19	17	18
443141	19	17	18
443342	19	17	18
443542	19	17	18
443743	19	17	18
443943	19	17	18
444143	19	17	18
444344	19	17	18
444544	19	17	18
444744	19	17	18
444945	19	17	18
445145	19	17	18
445347	19	17	18
445546	19	17	18
445746	19	17	18
445947	19	17	18
446147	19	17	18
446347	19	17	18
446548	19	17	18
446748	19	17	18
446948	19	17	18
447149	19	17	18
447349	19	17	18
447549	19	17	18
447750	19	17	18
447950	19	17	18
448150	19	17	18
448351	19	17	18
448551	19	17	18
448752	19	17	18
448952	19	17	18
449152	19	17	18
449353	19	17	18
449553	19	17	18
449753	19	17	18
449954	19	17	18
450154	19	17	18
450354	19	17	18
450555	19	17	18
450755	19	17	18
450955	19	17	18
451156	19	17	18
451356	19	17	18
451556	19	17	18
451757	19	17	18
451957	19	17	18
452157	19	17	18
452358	19	17	18
452558	19	17	18
