timestamp	max	min	average
490625	19	17	18
490825	19	17	18
491026	19	17	18
491226	19	17	18
491426	19	17	18
491627	19	17	18
491827	19	17	18
492027	19	17	18
492228	19	17	18
492428	19	17	18
492629	19	17	18
492829	19	17	18
493029	19	17	18
493230	19	17	18
493430	19	17	18
493631	19	17	18
493831	19	17	18
494031	19	17	18
494232	19	17	18
494432	19	17	18
494632	19	17	18
494833	19	17	18
495033	19	17	18
495234	19	17	18
495434	19	17	18
495634	19	17	18
495835	19	17	18
496035	19	17	18
496235	19	17	18
496436	19	17	18
496636	19	17	18
496836	19	17	18
497037	19	17	18
497237	19	17	18
497438	19	17	18
497638	19	17	18
497838	19	17	18
498039	19	17	18
498239	19	17	18
498439	19	17	18
498640	19	17	18
498840	19	17	18
499041	19	17	18
499241	19	17	18
499441	19	17	18
499642	19	17	18
499842	19	17	18
500042	19	17	18
500243	19	17	18
500443	19	17	18
500644	19	17	18
500844	19	17	18
501044	19	17	18
501245	19	17	18
501445	19	17	18
501645	19	17	18
501846	19	17	18
502046	19	17	18
502246	19	17	18
502447	19	17	18
502647	19	17	18
502847	19	17	18
503048	19	17	18
503248	19	17	18
503449	19	17	18
503649	19	17	18
503849	19	17	18
504050	19	17	18
504250	19	17	18
504450	19	17	18
504651	19	17	18
504851	19	17	18
505051	19	17	18
505252	19	17	18
505452	19	17	18
505652	19	17	18
505853	19	17	18
506053	19	17	18
506253	19	17	18
506454	19	17	18
506654	19	17	18
506855	19	17	18
507055	19	17	18
507255	19	17	18
507456	19	17	18
507656	19	17	18
507856	19	17	18
508057	19	17	18
508257	19	17	18
508458	19	17	18
508658	19	17	18
508858	19	17	18
509059	19	17	18
509259	19	17	18
509459	19	17	18
509660	19	17	18
509860	19	17	18
510060	19	17	18
510261	19	17	18
510461	19	17	18
510662	19	17	18
510862	19	17	18
511062	19	17	18
511263	19	17	18
511463	19	17	18
511663	19	17	18
511864	19	17	18
512064	19	17	18
512264	19	17	18
512465	19	17	18
512665	19	17	18
512866	19	17	18
513066	19	17	18
513266	19	17	18
513467	19	17	18
513667	19	17	18
513867	19	17	18
514068	19	17	18
514268	19	17	18
514469	19	17	18
514669	19	17	18
514869	19	17	18
515070	19	17	18
515270	19	17	18
515470	19	17	18
515671	19	17	18
515871	19	17	18
516071	19	17	18
516272	19	17	18
516472	19	17	18
516673	19	17	18
516873	19	17	18
517073	19	17	18
517274	19	17	18
517474	19	17	18
517674	19	17	18
517875	19	17	18
518075	19	17	18
518275	19	17	18
518476	19	17	18
518676	19	17	18
518877	19	17	18
519077	19	17	18
519277	19	17	18
519478	19	17	18
519678	19	17	18
519878	19	17	18
520079	19	17	18
520279	19	17	18
520479	19	17	18
520680	19	17	18
520880	19	17	18
521080	19	17	18
521281	19	17	18
521481	19	17	18
521681	19	17	18
521882	19	17	18
522082	19	17	18
522282	19	17	18
522483	19	17	18
522683	19	17	18
522883	19	17	18
523084	19	17	18
523284	19	17	18
523484	19	17	18
523685	19	17	18
523885	19	17	18
524086	19	17	18
524286	19	17	18
524486	19	17	18
524687	19	17	18
524887	19	17	18
525087	19	17	18
525288	19	17	18
525488	19	17	18
525688	19	17	18
525889	19	17	18
526089	19	17	18
526289	19	17	18
526490	19	17	18
526690	19	17	18
526890	19	17	18
527091	19	17	18
527291	19	17	18
527492	19	17	18
527692	19	17	18
527892	19	17	18
528093	19	17	18
528293	19	17	18
528493	19	17	18
528694	19	17	18
528894	19	17	18
529094	19	17	18
529295	19	17	18
529495	19	17	18
529695	19	17	18
529896	19	17	18
530096	19	17	18
530296	19	17	18
530497	19	17	18
530697	19	17	18
530898	19	17	18
531098	19	17	18
531298	19	17	18
531499	19	17	18
531699	19	17	18
531899	19	17	18
532100	19	17	18
532300	19	17	18
532500	19	17	18
532701	19	17	18
532901	19	17	18
533102	19	17	18
533302	19	17	18
533502	19	17	18
533703	19	17	18
533903	19	17	18
534103	19	17	18
534304	19	17	18
534504	19	17	18
534705	19	17	18
534905	19	17	18
535105	19	17	18
535306	19	17	18
535506	19	17	18
535706	19	17	18
535907	19	17	18
536107	19	17	18
536307	19	17	18
536508	19	17	18
536708	19	17	18
536908	19	17	18
537109	19	17	18
537309	19	17	18
537510	19	17	18
537710	19	17	18
537910	19	17	18
538111	19	17	18
538311	19	17	18
538511	19	17	18
538712	19	17	18
538912	19	17	18
539113	19	17	18
539313	19	17	18
539513	19	17	18
539714	19	17	18
539914	19	17	18
540114	19	17	18
540315	19	17	18
540515	19	17	18
540715	19	17	18
540916	19	17	18
541116	19	17	18
541317	19	17	18
541517	19	17	18
541717	19	17	18
541918	19	17	18
542118	19	17	18
542318	19	17	18
542519	19	17	18
542719	19	17	18
542920	19	17	18
543120	19	17	18
543320	19	17	18
543521	19	17	18
543721	19	17	18
543921	19	17	18
544122	19	17	18
544322	19	17	18
544523	19	17	18
544723	19	17	18
544923	19	17	18
545124	19	17	18
545324	19	17	18
545524	19	17	18
545725	19	17	18
545925	19	17	18
546125	19	17	18
546326	19	17	18
546526	19	17	18
546727	19	17	18
546927	19	17	18
547127	19	17	18
547328	19	17	18
547528	19	17	18
547728	19	17	18
547929	19	17	18
548129	19	17	18
548330	19	17	18
548530	19	17	18
548732	19	17	18
548931	19	17	18
549131	19	17	18
549331	19	17	18
549532	19	17	18
549732	19	17	18
549933	19	17	18
550133	19	17	18
