timestamp	value
490679	0
491205	0
491679	0
492179	0
492679	0
493179	0
493679	0
494179	0
494679	0
495179	0
495679	0
496179	0
496679	0
497179	0
497679	0
498179	0
498679	0
499179	0
499679	0
500179	0
500679	0
501179	0
501679	0
502179	0
502679	0
503179	0
503679	0
504179	0
504679	0
505179	0
505679	0
506179	0
506679	0
507179	0
507679	0
508179	0
508679	0
509179	0
509679	0
510179	0
510679	0
511179	0
511679	0
512179	0
512679	0
513179	0
513679	0
514179	0
514679	0
515179	0
515679	0
516179	0
516680	0
517179	0
517679	0
518179	0
518679	0
519179	0
519679	0
520180	0
520680	0
521180	0
521680	0
522180	0
522680	0
523180	0
523680	0
524180	0
524680	0
525180	0
525680	0
526180	0
526680	0
527180	0
527680	0
528180	0
528680	0
529180	0
529680	0
530180	0
530680	0
531180	0
531680	0
532180	0
532680	0
533180	0
533680	0
534180	0
534680	0
535180	0
535680	0
536180	0
536680	0
537180	0
537680	0
538180	0
538680	0
539180	0
539680	0
540180	0
540680	0
541180	0
541680	0
542180	0
542680	0
543180	0
543680	0
544180	0
544680	0
545180	0
545680	0
546182	0
546680	0
547180	0
547680	0
548180	0
548680	0
549180	0
549680	0
550180	0
