timestamp	speed	speedms
490656	0	0
490757	0	0
490857	0	0
490956	0	0
491056	0	0
491205	0	0
491256	0	0
491356	0	0
491456	0	0
491557	0	0
491656	0	0
491756	0	0
491857	0	0
491957	0	0
492056	0	0
492156	0	0
492257	0	0
492357	0	0
492456	0	0
492557	0	0
492657	0	0
492756	0	0
492856	0	0
492956	0	0
493057	0	0
493156	0	0
493257	0	0
493356	0	0
493457	0	0
493556	0	0
493656	0	0
493756	0	0
493857	0	0
493956	0	0
494056	0	0
494157	0	0
494256	0	0
494356	0	0
494557	0	0
494757	0	0
494856	0	0
494957	0	0
495156	0	0
495257	0	0
495357	0	0
495457	0	0
495557	0	0
495657	0	0
495757	0	0
495857	0	0
495957	0	0
496057	0	0
496157	0	0
496257	0	0
496357	0	0
496457	0	0
496557	0	0
496657	0	0
496757	0	0
496857	0	0
496957	0	0
497057	0	0
497157	0	0
497257	0	0
497357	0	0
497457	0	0
497557	0	0
497657	0	0
497757	0	0
497857	0	0
497957	0	0
498057	0	0
498157	0	0
498257	0	0
498357	0	0
498457	0	0
498557	0	0
498657	0	0
498757	0	0
498857	0	0
498957	0	0
499057	0	0
499157	0	0
499257	0	0
499357	0	0
499457	0	0
499557	0	0
499657	0	0
499757	0	0
499857	0	0
499957	0	0
500057	0	0
500157	0	0
500257	0	0
500357	0	0
500457	0	0
500557	0	0
500657	0	0
500757	0	0
500857	0	0
500957	0	0
501057	0	0
501157	0	0
501257	0	0
501357	0	0
501457	0	0
501557	0	0
501757	0	0
501857	0	0
501957	0	0
502057	0	0
502157	0	0
502257	0	0
502357	0	0
502457	0	0
502557	0	0
502657	0	0
502757	0	0
502857	0	0
502957	0	0
503057	0	0
503157	0	0
503257	0	0
503357	0	0
503457	0	0
503557	0	0
503657	0	0
503757	0	0
503857	0	0
503957	0	0
504057	0	0
504157	0	0
504257	0	0
504357	0	0
504457	0	0
504557	0	0
504657	0	0
504757	0	0
504857	0	0
504957	0	0
505057	0	0
505157	0	0
505257	0	0
505357	0	0
505457	0	0
505557	0	0
505657	0	0
505757	0	0
505857	0	0
505957	0	0
506057	0	0
506157	0	0
506257	0	0
506357	0	0
506457	0	0
506557	0	0
506657	0	0
506857	0	0
506957	0	0
507057	0	0
507157	0	0
507257	0	0
507357	0	0
507457	0	0
507557	0	0
507657	0	0
507757	0	0
507857	0	0
507957	0	0
508057	0	0
508157	0	0
508257	0	0
508357	0	0
508457	0	0
508557	0	0
508657	0	0
508757	0	0
508857	0	0
508957	0	0
509057	0	0
509157	0	0
509257	0	0
509357	0	0
509457	0	0
509557	0	0
509657	0	0
509757	0	0
509857	0	0
509957	0	0
510057	0	0
510157	0	0
510257	0	0
510357	0	0
510457	0	0
510557	0	0
510657	0	0
510757	0	0
510857	0	0
510957	0	0
511057	0	0
511157	0	0
511257	0	0
511357	0	0
511457	0	0
511557	0	0
511657	0	0
511757	0	0
511857	0	0
511957	0	0
512057	0	0
512157	0	0
512257	0	0
512357	0	0
512457	0	0
512557	0	0
512657	0	0
512757	0	0
512857	0	0
512957	0	0
513057	0	0
513157	0	0
513257	0	0
513357	0	0
513457	0	0
513557	0	0
513657	0	0
513757	0	0
513857	0	0
513957	0	0
