timestamp	data1	data2
490694	1248741890	0
490794	1248545282	0
490893	1248741890	0
490993	1248807426	0
491093	1248348674	0
491205	1248545282	0
491293	1248479746	0
491393	1248938498	0
491493	1249069570	0
491592	1248348674	0
491692	1249200642	0
491792	1248545282	0
491892	1248610818	0
491992	1248676354	0
492092	1248741890	0
492191	1248479746	0
492291	1248872962	0
492391	1248741890	0
492491	1248545282	0
492591	1248348674	0
492691	1248414210	0
492791	1248610818	0
492890	1248414210	0
492990	1248676354	0
493090	1248676354	0
493190	1248676354	0
493290	1248938498	0
493390	1248676354	0
493489	1248414210	0
493589	1248872962	0
493689	1248872962	0
493789	1248676354	0
493889	1248741890	0
493989	1248741890	0
494088	1248610818	0
494188	1248807426	0
494288	1248545282	0
494388	1248610818	0
494488	1248610818	0
494588	1248676354	0
494687	1248348674	0
494787	1248610818	0
494887	1248545282	0
494987	1248741890	0
495087	1248872962	0
495187	1248610818	0
495287	1248741890	0
495386	1248545282	0
495486	1248217602	0
495586	1249004034	0
495686	1248807426	0
495786	1248610818	0
495886	1248807426	0
495985	1248741890	0
496085	1249004034	0
496185	1248545282	0
496285	1248938498	0
496385	1248545282	0
496485	1248283138	0
496584	1248938498	0
496684	1248610818	0
496784	1248741890	0
496884	1248610818	0
496984	1248872962	0
497084	1248741890	0
497184	1248872962	0
497283	1248741890	0
497383	1248676354	0
497483	1248676354	0
497583	1248610818	0
497683	1248872962	0
497783	1249135106	0
497882	1248479746	0
497982	1248872962	0
498082	1248872962	0
498182	1248807426	0
498282	1248807426	0
498382	1248283138	0
498481	1248348674	0
498581	1248545282	0
498681	1248741890	0
498781	1248741890	0
498881	1248938498	0
498981	1248807426	0
499081	1248676354	0
499180	1248872962	0
499280	1248741890	0
499380	1248545282	0
499480	1248741890	0
499580	1248676354	0
499680	1248938498	0
499779	1249004034	0
499879	1248610818	0
499979	1248938498	0
500079	1248938498	0
500179	1248872962	0
500279	1248741890	0
500378	1248348674	0
500478	1248938498	0
500578	1248741890	0
500678	1248610818	0
500778	1248676354	0
500878	1248938498	0
500978	1248676354	0
501077	1248676354	0
501177	1248741890	0
501277	1248741890	0
501377	1248479746	0
501477	1249135106	0
501577	1248676354	0
501676	1248610818	0
501776	1248676354	0
501876	1248938498	0
501976	1248741890	0
502076	1249069570	0
502176	1248610818	0
502275	1249004034	0
502375	1248807426	0
502475	1248610818	0
502575	1248610818	0
502675	1248741890	0
502775	1248545282	0
502874	1248741890	0
502974	1248938498	0
503074	1248807426	0
503174	1248610818	0
503274	1248872962	0
503374	1248938498	0
503474	1249069570	0
503573	1248807426	0
503673	1249069570	0
503773	1248545282	0
503873	1248676354	0
503973	1248545282	0
504073	1248807426	0
504172	1249004034	0
504272	1248872962	0
504372	1248676354	0
504472	1248676354	0
504572	1248610818	0
504672	1248741890	0
504772	1248414210	0
504871	1248807426	0
504971	1248414210	0
505071	1248938498	0
505171	1248807426	0
505271	1248676354	0
505371	1249069570	0
505470	1248479746	0
505570	1248479746	0
505670	1248741890	0
505770	1248807426	0
505870	1248545282	0
505970	1248741890	0
506069	1248807426	0
506169	1248872962	0
506269	1248545282	0
506369	1248938498	0
506469	1248807426	0
506569	1249004034	0
506669	1248741890	0
506768	1248545282	0
506868	1248610818	0
506968	1248610818	0
507068	1248545282	0
507168	1248938498	0
507268	1248676354	0
507367	1248610818	0
507467	1248741890	0
507567	1248741890	0
507667	1248545282	0
507767	1248610818	0
507867	1248872962	0
507966	1248872962	0
508066	1248741890	0
508166	1248807426	0
508266	1248872962	0
508366	1248872962	0
508466	1248872962	0
508566	1248479746	0
508665	1248545282	0
508765	1249069570	0
508865	1248741890	0
508965	1248741890	0
509065	1248807426	0
509165	1248938498	0
509264	1249004034	0
509364	1248741890	0
509464	1248676354	0
509564	1248741890	0
509664	1248545282	0
509764	1248872962	0
509863	1248938498	0
509963	1248872962	0
510064	1249004034	0
510163	1248741890	0
510263	1248741890	0
510363	1248676354	0
510462	1248741890	0
510562	1248479746	0
510662	1248807426	0
510762	1248610818	0
510862	1248741890	0
510962	1248610818	0
511062	1248676354	0
511161	1248741890	0
511261	1249004034	0
511361	1248610818	0
511461	1248545282	0
511561	1248807426	0
511661	1248938498	0
511760	1248938498	0
511860	1248741890	0
511960	1248741890	0
512060	1248807426	0
512160	1248741890	0
512260	1248872962	0
512359	1249069570	0
512459	1248676354	0
512559	1248676354	0
512659	1248938498	0
512759	1248872962	0
512859	1248807426	0
512958	1249004034	0
513058	1248545282	0
513158	1249266178	0
513258	1248872962	0
513358	1248741890	0
513458	1248807426	0
513558	1248610818	0
513657	1249004034	0
513757	1248872962	0
513857	1248938498	0
513957	1248676354	0
514057	1248807426	0
514157	1248872962	0
514256	1248872962	0
514356	1249004034	0
514456	1248807426	0
514556	1248676354	0
514656	1248872962	0
514756	1248807426	0
514855	1249004034	0
514955	1248676354	0
515055	1248610818	0
515155	1248807426	0
515255	1249004034	0
515355	1248545282	0
515455	1248872962	0
515554	1248807426	0
515656	1248741890	0
515754	1248872962	0
515854	1248545282	0
515954	1248741890	0
516054	1248741890	0
516153	1248807426	0
516253	1248741890	0
516353	1248807426	0
516453	1248872962	0
516553	1249266178	0
516653	1248938498	0
516753	1248283138	0
516852	1248741890	0
516952	1248807426	0
517052	1248872962	0
517152	1248807426	0
517252	1248741890	0
517352	1248872962	0
517451	1248872962	0
517551	1248676354	0
517651	1248283138	0
517751	1248545282	0
517851	1248807426	0
517951	1248741890	0
518050	1249135106	0
518150	1248872962	0
518250	1248741890	0
518350	1248807426	0
518450	1248610818	0
518550	1248807426	0
518649	1249004034	0
518749	1248741890	0
518849	1248676354	0
518949	1248807426	0
519049	1249004034	0
519149	1248610818	0
519249	1248610818	0
519348	1248938498	0
519448	1248938498	0
