timestamp	latitude_m	latitude_o	speed
307443	0	72	0
307543	0	72	0
307643	0	72	0
307743	0	72	0
307843	0	72	0
307986	0	72	0
308043	0	72	0
308143	0	72	0
308243	0	72	0
308343	0	72	0
308443	0	72	0
308543	0	72	0
308643	0	72	0
308743	0	72	0
308843	0	72	0
308943	0	72	0
309043	0	72	0
309143	0	72	0
309243	0	72	0
309343	0	72	0
309443	0	72	0
309543	0	72	0
309643	0	72	0
309743	0	72	0
309843	0	72	0
309943	0	72	0
310044	0	72	0
310143	0	72	0
310243	0	72	0
310343	0	72	0
310443	0	72	0
310543	0	72	0
310643	0	72	0
310743	0	72	0
310843	0	72	0
310943	0	72	0
311043	0	72	0
311143	0	72	0
311243	0	72	0
311343	0	72	0
311443	0	72	0
311543	0	72	0
311643	0	72	0
311743	0	72	0
311843	0	72	0
311943	0	72	0
312043	0	72	0
312143	0	72	0
312243	0	72	0
312343	0	72	0
312443	0	72	0
312543	0	72	0
312643	0	72	0
312743	0	72	0
312843	0	72	0
312943	0	72	0
313043	0	72	0
313243	0	72	0
313443	0	72	0
313643	0	72	0
313743	0	72	0
313843	0	72	0
313943	0	72	0
314043	0	72	0
314143	0	72	0
314243	0	72	0
314443	0	72	0
314543	0	72	0
314643	0	72	0
314743	0	72	0
314843	0	72	0
314943	0	72	0
315043	0	72	0
315143	0	72	0
315243	0	72	0
315343	0	72	0
315443	0	72	0
315543	0	72	0
315643	0	72	0
315743	0	72	0
315843	0	72	0
315943	0	72	0
316043	0	72	0
316143	0	72	0
316243	0	72	0
316343	0	72	0
316443	0	72	0
316543	0	72	0
316743	0	72	0
316843	0	72	0
316943	0	72	0
317043	0	72	0
317143	0	72	0
317243	0	72	0
317343	0	72	0
317443	0	72	0
317543	0	72	0
317643	0	72	0
317743	0	72	0
317843	0	72	0
317943	0	72	0
318043	0	72	0
318143	0	72	0
318243	0	72	0
318343	0	72	0
318443	0	72	0
318543	0	72	0
318643	0	72	0
318743	0	72	0
318843	0	72	0
318943	0	72	0
319043	0	72	0
319143	0	72	0
319243	0	72	0
319343	0	72	0
319443	0	72	0
319543	0	72	0
319643	0	72	0
319743	0	72	0
319843	0	72	0
319944	0	72	0
320043	0	72	0
320143	0	72	0
320243	0	72	0
320344	0	72	0
320443	0	72	0
320543	0	72	0
320643	0	72	0
320743	0	72	0
320843	0	72	0
320943	0	72	0
321044	0	72	0
321143	0	72	0
321243	0	72	0
321343	0	72	0
321443	0	72	0
321543	0	72	0
321643	0	72	0
321743	0	72	0
321843	0	72	0
321943	0	72	0
322043	0	72	0
322143	0	72	0
322243	0	72	0
322343	0	72	0
322443	0	72	0
322543	0	72	0
322643	0	72	0
322743	0	72	0
322843	0	72	0
322943	0	72	0
323043	0	72	0
323143	0	72	0
323243	0	72	0
323343	0	72	0
323443	0	72	0
323543	0	72	0
323643	0	72	0
323745	0	72	0
323843	0	72	0
323943	0	72	0
324043	0	72	0
324143	0	72	0
324243	0	72	0
324343	0	72	0
324444	0	72	0
324543	0	72	0
324643	0	72	0
324743	0	72	0
324843	0	72	0
324943	0	72	0
325043	0	72	0
325143	0	72	0
325243	0	72	0
325343	0	72	0
325443	0	72	0
325543	0	72	0
325643	0	72	0
325743	0	72	0
325843	0	72	0
325943	0	72	0
326043	0	72	0
326143	0	72	0
326243	0	72	0
326344	0	72	0
326443	0	72	0
326543	0	72	0
326643	0	72	0
326744	0	72	0
326843	0	72	0
326943	0	72	0
327143	0	72	0
327243	0	72	0
327343	0	72	0
327443	0	72	0
327543	0	72	0
327643	0	72	0
327743	0	72	0
327844	0	72	0
327943	0	72	0
328043	0	72	0
328143	0	72	0
328244	0	72	0
328343	0	72	0
328443	0	72	0
328543	0	72	0
328644	0	72	0
328743	0	72	0
328843	0	72	0
328944	0	72	0
329043	0	72	0
329143	0	72	0
329243	0	72	0
329344	0	72	0
329443	0	72	0
329543	0	72	0
329643	0	72	0
329744	0	72	0
329845	0	72	0
329943	0	72	0
330044	0	72	0
330144	0	72	0
330243	0	72	0
330343	0	72	0
330444	0	72	0
330543	0	72	0
330643	0	72	0
330743	0	72	0
330844	0	72	0
330943	0	72	0
331043	0	72	0
331143	0	72	0
331244	0	72	0
331343	0	72	0
331443	0	72	0
331543	0	72	0
331644	0	72	0
331743	0	72	0
331843	0	72	0
331943	0	72	0
332043	0	72	0
332143	0	72	0
332243	0	72	0
332344	0	72	0
332443	0	72	0
332543	0	72	0
332643	0	72	0
332744	0	72	0
332843	0	72	0
332943	0	72	0
333043	0	72	0
333144	0	72	0
333243	0	72	0
333343	0	72	0
333443	0	72	0
333544	0	72	0
333643	0	72	0
333743	0	72	0
333844	0	72	0
333943	0	72	0
334143	0	72	0
334244	0	72	0
334343	0	72	0
334443	0	72	0
334543	0	72	0
334644	0	72	0
334743	0	72	0
334843	0	72	0
334944	0	72	0
335044	0	72	0
335144	0	72	0
335243	0	72	0
335344	0	72	0
335444	0	72	0
335543	0	72	0
335644	0	72	0
335744	0	72	0
335844	0	72	0
335943	0	72	0
336043	0	72	0
336144	0	72	0
336243	0	72	0
336343	0	72	0
336443	0	72	0
336544	0	72	0
336643	0	72	0
336743	0	72	0
336844	0	72	0
336944	0	72	0
337043	0	72	0
