timestamp	max	min	total
121222	3.7279	3.6817	400.4169
121233	3.7279	3.6817	400.4152
121272	3.7278	3.6817	400.4148
121312	3.728	3.6817	400.4156
121352	3.728	3.6816	400.4155
121421	3.7279	3.6816	400.4149
121433	3.7279	3.6816	400.4153
121473	3.7279	3.6816	400.4149
121513	3.728	3.6816	400.417
121553	3.7279	3.6817	400.4162
121622	3.728	3.6816	400.4159
121634	3.728	3.6817	400.4157
121673	3.7279	3.6817	400.4149
121713	3.7278	3.6816	400.4156
121779	3.7278	3.6817	400.4155
121822	3.728	3.6816	400.4158
121834	3.728	3.6816	400.4157
121873	3.7279	3.6816	400.4159
121913	3.7279	3.6817	400.4149
121954	3.7279	3.6815	400.416
122023	3.728	3.6816	400.4162
122035	3.728	3.6817	400.4149
122074	3.728	3.6817	400.4161
122114	3.7279	3.6817	400.4161
122154	3.7279	3.6816	400.4157
122223	3.728	3.6816	400.4165
122235	3.728	3.6817	400.4154
122274	3.7278	3.6816	400.4162
122314	3.7279	3.6817	400.4162
122354	3.7279	3.6816	400.4149
122424	3.7279	3.6815	400.415
122436	3.7279	3.6816	400.4158
122475	3.7279	3.6817	400.4156
122515	3.7279	3.6817	400.4159
122555	3.7279	3.6817	400.4164
122624	3.7278	3.6817	400.4157
122636	3.7278	3.6815	400.4146
122675	3.7279	3.6816	400.416
122715	3.728	3.6816	400.4161
122755	3.7279	3.6817	400.4161
122824	3.7279	3.6816	400.4159
122836	3.7279	3.6816	400.4149
122876	3.7279	3.6816	400.4149
122916	3.7279	3.6817	400.4158
122956	3.728	3.6816	400.4168
123025	3.7278	3.6816	400.4164
123037	3.7278	3.6817	400.4155
123076	3.728	3.6817	400.4154
123116	3.728	3.6816	400.4168
123156	3.7279	3.6816	400.4161
123225	3.7278	3.6816	400.4151
123237	3.7278	3.6816	400.4144
123276	3.7278	3.6817	400.416
123317	3.7279	3.6816	400.4159
123357	3.7279	3.6816	400.4164
123426	3.7279	3.6817	400.4162
123438	3.7279	3.6816	400.4156
123477	3.7279	3.6816	400.4151
123517	3.7279	3.6816	400.4154
123557	3.728	3.6817	400.4151
123626	3.728	3.6816	400.4157
123638	3.728	3.6816	400.4152
123677	3.7279	3.6816	400.4159
123717	3.7279	3.6816	400.4156
123758	3.7279	3.6816	400.4156
123827	3.728	3.6817	400.4157
123839	3.728	3.6816	400.416
123878	3.728	3.6817	400.4168
123918	3.7279	3.6817	400.415
123958	3.7279	3.6816	400.4162
124027	3.7278	3.6815	400.4166
124039	3.7278	3.6816	400.4166
124078	3.7279	3.6816	400.4155
124118	3.7281	3.6817	400.4166
124158	3.7279	3.6816	400.4152
124228	3.728	3.6816	400.4167
124240	3.728	3.6816	400.4161
124279	3.7279	3.6816	400.4148
124319	3.728	3.6816	400.4167
124359	3.7279	3.6817	400.4163
124428	3.7279	3.6815	400.4158
124440	3.7279	3.6815	400.4154
124479	3.728	3.6816	400.4158
124519	3.728	3.6817	400.4169
124559	3.7279	3.6816	400.415
124629	3.728	3.6816	400.4166
124641	3.728	3.6816	400.4164
124680	3.7279	3.6816	400.4152
124720	3.7279	3.6817	400.4164
124760	3.7279	3.6817	400.4155
124829	3.7279	3.6816	400.4169
124841	3.7279	3.6817	400.4164
124880	3.728	3.6816	400.4148
124920	3.7279	3.6817	400.4151
