timestamp	voltage	temperature
121329	14.9	26.4
121481	14.9	26.4
121633	14.9	26.4
121785	14.9	26.4
121939	14.9	26.4
122091	14.9	26.6
122243	14.9	26.4
122395	14.9	26.4
122547	14.9	26.4
122699	14.9	26.4
122851	14.9	26.4
123003	14.9	26.4
123155	14.9	26.4
123307	14.9	26.4
123461	14.9	26.4
123613	14.9	26.4
123766	14.9	26.4
123917	14.9	26.4
124069	14.9	26.4
124221	14.9	26.4
124373	14.9	26.4
124525	14.9	26.4
124677	14.9	26.4
124829	14.9	26.4
124981	14.9	26.6
125131	14.9	26.4
125283	14.9	26.4
125435	14.9	26.4
125587	14.9	26.4
125739	14.9	26.4
125891	14.9	26.4
126043	14.9	26.4
126195	14.9	26.4
126347	14.9	26.4
126500	14.9	26.4
126653	14.9	26.4
126805	14.9	26.4
126957	14.9	26.4
127109	14.9	26.4
127263	14.9	26.4
127414	14.9	26.6
127566	14.9	26.4
127717	14.9	26.4
127869	14.9	26.4
128021	14.9	26.4
128174	14.9	26.4
128327	14.9	26.4
128480	14.9	26.4
128631	14.9	26.4
128784	14.9	26.4
128935	14.9	26.4
129087	14.9	26.4
129239	14.9	26.4
129391	14.9	26.4
129544	14.9	26.4
129696	14.9	26.4
129853	14.9	26.4
130006	14.9	26.4
130157	14.9	26.4
130310	14.9	26.4
130462	14.9	26.6
130614	14.9	26.4
130766	14.9	26.4
130918	14.9	26.4
131070	14.9	26.4
131222	14.9	26.4
131374	14.9	26.4
131528	14.9	26.4
131680	14.9	26.4
131832	14.9	26.4
131984	14.9	26.4
132136	14.9	26.4
132288	14.9	26.4
132440	14.9	26.4
132592	14.9	26.4
132744	14.9	26.4
132896	14.9	26.4
133048	14.9	26.4
133202	14.9	26.4
133354	14.9	26.4
133506	14.9	26.4
133658	14.9	26.4
133810	14.9	26.4
133962	14.9	26.4
134114	14.9	26.4
134266	14.9	26.4
134418	14.9	26.4
134570	14.9	26.2
134724	14.9	26.4
134876	14.9	26.4
135028	14.9	26.4
135180	14.9	26.4
135332	14.9	26.4
135484	14.9	26.4
135636	14.9	26.4
135788	14.9	26.4
135940	14.9	26.4
136092	14.9	26.4
136244	14.9	26.4
136398	14.9	26.4
136550	14.9	26.4
136702	14.9	26.4
136854	14.9	26.4
137006	14.9	26.4
137158	14.9	26.4
137310	14.9	26.4
137462	14.9	26.4
137614	14.9	26.4
137766	14.9	26.4
137916	14.9	26.4
138068	14.9	26.4
138220	14.9	26.4
138372	14.9	26.4
138524	14.9	26.4
138676	14.9	26.4
138828	14.9	26.4
138980	14.9	26.4
139132	14.9	26.4
139284	14.9	26.4
139436	14.9	26.4
139590	14.9	26.4
139742	14.9	26.2
139894	14.9	26.4
140046	14.9	26.4
140198	14.9	26.4
140350	14.9	26.4
140502	14.9	26.4
140654	14.9	26.4
140806	14.9	26.4
140958	14.9	26.4
141114	14.9	26.4
141264	14.9	26.4
141416	14.9	26.4
141568	14.9	26.4
141720	14.9	26.4
141872	14.9	26.4
142024	14.9	26.4
142176	14.9	26.4
142328	14.9	26.4
142480	14.9	26.4
142632	14.9	26.4
142782	14.9	26.4
142934	14.9	26.4
143086	14.9	26.4
