timestamp	voltage	temperature
490707	14.2	23.8
490859	14.2	23.8
491011	14.2	23.8
491205	14.2	23.8
491315	14.2	23.8
491467	14.2	23.8
491619	14.2	23.8
491771	14.2	23.8
491923	14.2	23.8
492075	14.2	23.8
492229	14.2	23.8
492381	14.2	23.8
492533	14.2	23.8
492685	14.2	23.8
492837	14.2	23.8
492989	14.2	24.8
493141	14.2	23.8
493293	14.2	23.8
493445	14.2	23.8
493597	14.2	24
493751	14.2	23.8
493903	14.2	23.8
494207	14.2	23.8
494359	14.2	23.8
494511	14.2	23.8
494663	14.2	23.8
494815	14.2	23.8
494967	14.2	23.8
495119	14.2	23.8
495271	14.2	23.8
495425	14.2	23.8
495577	14.2	23.8
495729	14.2	23.8
495881	14.2	23.8
496033	14.2	23.8
496185	14.2	23.8
496337	14.2	23.6
496489	14.2	23.8
496641	14.2	23.8
496793	14.2	23.8
496947	14.2	23.8
497099	14.2	23.8
497251	14.2	23.8
497403	14.2	24.2
497555	14.2	24
497707	14.2	23.8
497859	14.2	23.8
498011	14.2	23.8
498163	14.2	23.6
498315	14.2	23.8
498467	14.2	23.8
498621	14.2	24
498773	14.2	24
498925	14.2	23.8
499077	14.2	23.8
499229	14.2	23.8
499381	14.2	23.8
499533	14.2	23.8
499685	14.2	23.8
499837	14.2	23.8
499989	14.2	23.8
500143	14.2	23.8
500295	14.2	23.8
500447	14.2	24
500599	14.2	23.8
500751	14.2	23.8
500903	14.2	23.8
501055	14.2	23.8
501207	14.2	23.8
501359	14.2	23.8
501511	14.2	23.8
501663	14.2	23.8
501817	14.2	23.8
501969	14.2	23.8
502121	14.2	23.8
502273	14.2	24
502425	14.2	23.8
502577	14.2	23.8
502729	14.2	23.8
502881	14.2	23.8
503033	14.2	23.8
503185	14.2	23.8
503339	14.2	24
503491	14.2	23.8
503643	14.2	23.8
503795	14.2	23.8
503947	14.2	23.8
504099	14.2	23.8
504251	14.2	23.8
504403	14.2	23.8
504555	14.2	23.8
504707	14.2	23.8
504859	14.2	23.8
505013	14.2	23.8
505165	14.2	23.8
505317	14.2	23.8
505469	14.2	23.8
505621	14.2	24
505773	14.2	23.8
505925	14.2	23.8
506077	14.2	23.8
506229	14.2	23.8
506381	14.2	23.8
506533	14.2	23.8
506687	14.2	23.8
506839	14.2	23.8
506991	14.2	23.8
507143	14.2	24
507295	14.2	23.8
507447	14.2	23.8
507599	14.2	23.8
507751	14.2	23.8
507903	14.2	23.8
508055	14.2	23.8
508209	14.2	23.8
508361	14.2	23.8
508513	14.2	23.8
508665	14.2	23.8
508817	14.2	23.8
508969	14.2	23.8
509121	14.2	23.8
509273	14.2	23.8
509425	14.2	23.8
509577	14.2	23.8
509729	14.2	23.8
509883	14.2	23.8
510035	14.2	23.8
510187	14.2	23.8
510339	14.2	23.8
510491	14.2	23.8
510643	14.2	23.8
510795	14.2	23.8
510947	14.2	23.8
511099	14.2	23.8
511251	14.2	23.8
511405	14.2	23.8
511557	14.2	23.8
511709	14.2	23.8
511861	14.2	24
512013	14.2	23.8
512165	14.2	23.8
512317	14.2	23.8
512469	14.2	23.8
512621	14.2	23.8
512773	14.2	23.8
512925	14.2	24
513079	14.2	23.8
513231	14.2	23.8
513383	14.2	23.8
513535	14.2	23.8
513687	14.2	23.8
513839	14.2	24
513991	14.2	23.8
514143	14.2	24
514295	14.2	23.8
514447	14.2	23.8
514601	14.2	23
514753	14.2	23.8
514905	14.2	23.8
515057	14.2	23.8
515209	14.2	24
515361	14.2	23.8
515513	14.2	23.8
515665	14.2	23.8
515817	14.2	23.8
515969	14.2	23.8
516121	14.2	24
516271	14.2	23.8
516423	14.2	23.8
516575	14.2	23.8
516727	14.2	23.8
516879	14.2	24
517031	14.2	23.8
517183	14.2	23.8
517335	14.2	23.8
517487	14.2	23.8
517639	14.2	23.8
517793	14.2	23.8
517945	14.2	23.8
518097	14.2	23.8
518249	14.2	23.8
518401	14.2	23.8
518553	14.2	23.8
518705	14.2	23.8
518857	14.2	23.8
519009	14.2	23.8
519161	14.2	23.8
519313	14.2	23.8
519467	14.2	23.8
519619	14.2	23.8
519771	14.2	23.8
519923	14.2	23.8
520075	14.2	23.8
520227	14.2	23.8
520379	14.2	23.8
520531	14.2	23.8
520683	14.2	23.8
520835	14.2	23.8
520987	14.2	23.8
521137	14.2	23.8
521289	14.2	23.8
521441	14.2	23.8
521593	14.2	23.8
521745	14.2	23.8
521897	14.2	23.8
522049	14.2	23.8
522201	14.2	23.8
522353	14.2	23.8
522505	14.2	23.8
522659	14.2	23.8
522811	14.2	23.8
522963	14.2	23.8
523115	14.2	23.8
523267	14.2	23.8
523419	14.2	23.8
523571	14.2	23.8
523723	14.2	23.8
523875	14.2	23.8
524027	14.2	23.8
524179	14.2	23.8
524333	14.2	23.8
524485	14.2	23.8
524637	14.2	23.8
524941	14.2	23.8
525093	14.2	23.8
525245	14.2	23.8
525397	14.2	24
525549	14.2	23.8
525701	14.2	23.8
525855	14.2	23.8
526007	14.2	23.8
526159	14.2	23.8
526311	14.3	23.8
526463	14.2	23.8
526615	14.2	23.8
526767	14.2	23.8
526919	14.2	23.8
527071	14.2	23.8
527223	14.2	23.8
527375	14.2	23.8
527529	14.2	23.8
527681	14.2	23.8
527833	14.2	23.8
527985	14.2	23.8
528137	14.2	23.8
528289	14.2	23.8
528441	14.2	23.8
528593	14.2	23.8
528745	14.2	23.8
528897	14.2	23.8
529051	14.2	23.8
529203	14.2	23.8
529355	14.2	23.8
529507	14.2	23.8
529659	14.2	23.8
529811	14.2	23.8
529963	14.2	24
530115	14.2	23.8
530267	14.2	23.8
530419	14.2	23.8
530571	14.2	23.8
530725	14.2	23.8
530877	14.2	23.8
531029	14.2	23.8
531181	14.2	23.8
531333	14.2	24
531485	14.2	23.8
531637	14.2	23.8
531789	14.2	23.8
531941	14.2	23.8
532093	14.2	24
532247	14.2	23.8
532399	14.2	23.8
532551	14.2	23.8
532703	14.2	23.8
532855	14.2	23.8
533007	14.2	23.8
533159	14.2	23.8
533311	14.2	23.8
533463	14.2	23.8
533615	14.2	23.8
533767	14.2	24
533917	14.2	23.8
534069	14.2	23.8
534221	14.2	23.8
534373	14.2	23.8
534525	14.2	23.8
534677	14.2	23.8
534829	14.2	23.8
534981	14.2	23.8
535133	14.2	23.8
535285	14.2	23.8
535437	14.2	23.8
535591	14.2	23.8
535743	14.2	23.8
535895	14.2	23.8
536047	14.2	23.8
