timestamp	max	min	total
3441278	3.7279	3.6817	400.4202
3441317	3.7279	3.6817	400.4208
3441357	3.7279	3.6818	400.4214
3441397	3.728	3.6818	400.4211
3441466	3.728	3.6818	400.4219
3441478	3.728	3.6818	400.421
3441518	3.7279	3.6817	400.4206
3441558	3.7279	3.6818	400.4206
3441598	3.7279	3.6817	400.4199
3441667	3.7279	3.6817	400.4205
3441679	3.7279	3.6817	400.4212
3441718	3.7279	3.6818	400.4205
3441758	3.7279	3.6816	400.4204
3441798	3.7279	3.6817	400.4212
3441867	3.7279	3.6817	400.4214
3441879	3.7279	3.6817	400.4202
3441918	3.7279	3.6818	400.4225
3441958	3.728	3.6818	400.4217
3441998	3.7279	3.6818	400.4204
3442068	3.728	3.6816	400.4202
3442080	3.728	3.6817	400.4202
3442119	3.728	3.6818	400.42
3442159	3.7279	3.6818	400.42
3442199	3.7279	3.6818	400.4213
3442268	3.7279	3.6817	400.4205
3442280	3.7279	3.6816	400.4202
3442319	3.7279	3.6818	400.4198
3442359	3.7279	3.6818	400.4213
3442399	3.728	3.6818	400.4215
3442468	3.728	3.6818	400.4212
3442480	3.728	3.6818	400.4208
3442520	3.7279	3.6818	400.4198
3442560	3.7278	3.6817	400.4196
3442600	3.728	3.6817	400.4208
3442669	3.728	3.6816	400.4215
3442681	3.728	3.6816	400.4205
3442720	3.7279	3.6817	400.4206
3442760	3.728	3.6818	400.4205
3442800	3.728	3.6817	400.4208
3442869	3.7279	3.6818	400.4216
3442881	3.7279	3.6817	400.4205
3442920	3.7278	3.6817	400.4209
3442960	3.7278	3.6818	400.4211
3443000	3.7278	3.6817	400.4215
3443070	3.728	3.6818	400.4201
3443082	3.728	3.6818	400.4202
3443121	3.7279	3.6818	400.4204
3443161	3.7279	3.6817	400.4207
3443201	3.7279	3.6818	400.4208
3443270	3.7278	3.6818	400.4213
3443282	3.7278	3.6817	400.4201
3443321	3.728	3.6817	400.4206
3443361	3.7278	3.6816	400.4205
3443401	3.7279	3.6818	400.4216
3443470	3.7279	3.6818	400.4208
3443482	3.7279	3.6818	400.4207
3443522	3.7279	3.6816	400.4197
3443562	3.7279	3.6818	400.4204
3443605	3.7279	3.6818	400.4201
3443671	3.7279	3.6818	400.4217
3443683	3.7279	3.6818	400.4223
3443722	3.7278	3.6818	400.4212
3443762	3.7279	3.6817	400.4218
3443802	3.7279	3.6818	400.421
3443871	3.7278	3.6818	400.4204
3443883	3.7278	3.6817	400.4203
3443922	3.7279	3.6817	400.4203
3443962	3.7279	3.6817	400.4206
3444002	3.7279	3.6818	400.4217
3444072	3.7279	3.6817	400.4197
3444084	3.7279	3.6817	400.4196
3444123	3.7279	3.6818	400.4217
3444163	3.728	3.6817	400.4204
3444203	3.7279	3.6818	400.4208
3444272	3.7279	3.6817	400.4208
3444284	3.7279	3.6817	400.4208
3444323	3.7279	3.6817	400.4211
3444363	3.7279	3.6816	400.4206
3444403	3.7279	3.6818	400.4211
3444472	3.7279	3.6816	400.4205
3444484	3.7279	3.6817	400.4201
3444523	3.728	3.6817	400.4191
3444564	3.7279	3.6818	400.4198
3444604	3.7279	3.6817	400.4209
3444673	3.728	3.6817	400.4201
3444685	3.728	3.6817	400.4202
3444724	3.7279	3.6818	400.4194
3444764	3.7279	3.6817	400.4205
3444804	3.7279	3.6818	400.4213
3444873	3.728	3.6816	400.4203
3444885	3.728	3.6816	400.42
3444924	3.7279	3.6818	400.4205
3444964	3.7279	3.6817	400.4204
3445004	3.7279	3.6818	400.4191
3445074	3.728	3.6816	400.4216
3445086	3.728	3.6818	400.4223
3445127	3.7279	3.6817	400.4217
3445165	3.7279	3.6818	400.4206
3445205	3.7279	3.6817	400.421
3445274	3.7279	3.6817	400.4201
3445286	3.7279	3.6816	400.4197
3445325	3.7279	3.6817	400.4208
3445365	3.7279	3.6817	400.4212
3445405	3.7279	3.6817	400.4211
3445474	3.7279	3.6818	400.4205
3445486	3.7279	3.6817	400.4213
3445525	3.728	3.6818	400.4209
3445565	3.7278	3.6818	400.4189
3445606	3.7279	3.6817	400.4202
3445675	3.7279	3.6818	400.4207
3445687	3.7279	3.6818	400.4206
3445726	3.728	3.6818	400.4201
3445766	3.7279	3.6818	400.4212
3445806	3.7279	3.6816	400.4204
3445875	3.7278	3.6817	400.421
3445887	3.7278	3.6816	400.4202
3445926	3.7279	3.6818	400.421
3445966	3.7279	3.6818	400.4204
3446006	3.7279	3.6818	400.4205
3446075	3.7279	3.6818	400.4213
3446088	3.7279	3.6818	400.421
3446127	3.7279	3.6818	400.421
3446167	3.7279	3.6818	400.4199
3446207	3.728	3.6817	400.4213
3446276	3.7279	3.6817	400.421
3446288	3.7279	3.6817	400.4207
3446327	3.7279	3.6817	400.4201
3446367	3.7279	3.6818	400.4213
3446407	3.7279	3.6818	400.4221
3446476	3.7281	3.6817	400.4218
3446488	3.7281	3.6816	400.4218
3446527	3.728	3.6817	400.4207
3446567	3.7279	3.6816	400.421
3446608	3.728	3.6817	400.4214
3446677	3.728	3.6817	400.4209
3446689	3.728	3.6817	400.4203
3446728	3.7279	3.6818	400.4223
3446768	3.7279	3.6817	400.4196
3446808	3.728	3.6818	400.4216
3446877	3.728	3.6817	400.4207
3446889	3.728	3.6816	400.42
3446928	3.7279	3.6817	400.4206
3446968	3.7279	3.6817	400.4196
3447008	3.7279	3.6817	400.42
3447078	3.728	3.6816	400.4203
3447090	3.728	3.6817	400.4203
3447129	3.7279	3.6817	400.4206
3447169	3.728	3.6817	400.4205
3447209	3.7279	3.6818	400.4211
3447278	3.7279	3.6817	400.4215
3447290	3.7279	3.6817	400.4201
3447329	3.7279	3.6818	400.421
3447369	3.7279	3.6817	400.4219
3447409	3.728	3.6817	400.4202
3447478	3.7279	3.6817	400.4195
3447490	3.7279	3.6817	400.4201
3447530	3.728	3.6818	400.4198
3447570	3.7279	3.6818	400.4209
3447610	3.7279	3.6818	400.4218
3447679	3.7278	3.6818	400.4205
3447691	3.7278	3.6817	400.4206
3447730	3.7279	3.6818	400.4211
3447770	3.7279	3.6817	400.4198
3447810	3.7278	3.6817	400.421
3447879	3.7279	3.6818	400.4202
3447891	3.7279	3.6817	400.4207
3447930	3.7279	3.6817	400.4212
3447970	3.7279	3.6818	400.4197
3448011	3.728	3.6818	400.4198
3448080	3.7279	3.6818	400.4214
3448092	3.7279	3.6817	400.4209
3448131	3.7279	3.6818	400.4212
3448174	3.7279	3.6817	400.4218
3448211	3.7279	3.6818	400.421
3448280	3.7279	3.6818	400.4208
3448292	3.7279	3.6818	400.4208
3448331	3.7279	3.6817	400.4205
3448371	3.7278	3.6818	400.4203
3448411	3.7279	3.6817	400.4217
3448480	3.7279	3.6818	400.4211
3448493	3.7279	3.6818	400.421
3448532	3.7279	3.6817	400.4213
3448572	3.7279	3.6818	400.4219
3448612	3.7279	3.6817	400.4216
3448681	3.7279	3.6818	400.4214
3448693	3.7279	3.6818	400.4217
3448732	3.7279	3.6818	400.4201
3448772	3.728	3.6818	400.4205
3448812	3.728	3.6817	400.4218
3448881	3.7279	3.6817	400.4202
3448893	3.7279	3.6818	400.4207
3448932	3.7279	3.6818	400.421
3448973	3.7278	3.6817	400.4193
3449013	3.7279	3.6817	400.4195
3449082	3.728	3.6816	400.4196
3449094	3.728	3.6817	400.4203
3449133	3.728	3.6818	400.4208
3449173	3.7279	3.6817	400.4199
3449213	3.728	3.6817	400.4211
3449282	3.7279	3.6817	400.4205
3449294	3.7279	3.6816	400.4207
3449333	3.728	3.6818	400.4195
3449373	3.7279	3.6817	400.4206
3449414	3.728	3.6817	400.4207
3449483	3.7279	3.6816	400.4206
3449495	3.7279	3.6817	400.4202
3449534	3.7279	3.6817	400.4209
3449574	3.7279	3.6817	400.4207
3449614	3.728	3.6816	400.4193
3449683	3.7279	3.6817	400.4206
3449695	3.7279	3.6816	400.4207
3449734	3.7279	3.6817	400.4218
3449774	3.7279	3.6818	400.4206
