timestamp	voltage	temperature
3434534	15	26.2
3434686	15	26.2
3434838	15	26.2
3434990	15	26.2
3435142	15	26
3435296	15	26.2
3435448	15	26.2
3435600	15	26.2
3435752	15	26.2
3435904	15	26.2
3436056	15	26.2
3436208	15	26.2
3436360	15	26.2
3436512	15	26.2
3436664	15	26.2
3436814	15	26.2
3436966	15	26.2
3437118	15	26.2
3437270	15	26.2
3437422	15	26.2
3437574	15	26
3437726	15	26.2
3437878	15	26.2
3438030	15	26.2
3438182	15	26.2
3438334	15	26.2
3438488	15	26.2
3438640	15	26.2
3438792	15	26.2
3438944	15	26.2
3439096	15	26.2
3439248	15	26.2
3439400	15	26.2
3439552	15	26.2
3439704	15	26.2
3439856	15	26.2
3440010	15	26.2
3440162	15	26.2
3440314	15	26.2
3440466	15	26.2
3440618	15	26.2
3440770	15	26.2
3440922	15	26.2
3441074	15	26.2
3441226	15	26.2
3441378	15	26.2
3441530	15	26.2
3441680	15	26.2
3441832	15	26.2
3441984	15	26.2
3442136	15	26.2
3442288	15	26.2
3442440	15	26.2
3442592	15	26.2
3442744	15	26.2
3442896	15	26.2
3443048	15	26.2
3443202	15	26.2
3443354	15	26.2
3443506	15	26.2
3443658	15	26.2
3443810	15	26.2
3444114	15	26.2
3444266	15	26.2
3444418	15	26.2
3444570	15	26.2
3444722	15	26.2
3444876	15	26.2
3445028	15	26.2
3445180	15	26.2
3445332	15	26.2
3445484	15	26.2
3445638	15	26.2
3445788	15	26.2
3445940	15	26.2
3446092	15	26.2
3446244	15	26.2
3446398	15	26.2
3446550	15	26.2
3446702	15	26.2
3446854	15	26.2
3447006	15	26.2
3447158	15	26.2
3447310	15	26.2
3447462	15	26.2
3447614	15	26.2
3447766	15	26.2
3447919	15	26.2
3448072	15	26.2
3448224	15	26.2
3448376	15	26.2
3448528	15	26.2
3448680	15	26.2
3448832	15	26.2
3448984	15	26.2
3449136	14.9	26.2
3449288	15	26.2
3449440	15	26.2
3449592	15	26.2
3449746	15	26.2
3449898	15	26.2
3450050	15	26.2
3450202	15	26
3450354	15	26.2
3450506	15	26.2
3450658	15	26.2
3450810	15	26.2
3450962	15	26.2
3451114	15	26.2
3451268	15	26.2
3451420	15	26.2
3451572	15	26.2
3451724	15	26.2
3451876	15	26.2
3452028	15	26.4
3452180	15	26.2
3452332	15	26.2
3452484	15	26.2
3452636	15	26.2
3452788	15	26.2
3452942	15	26.2
3453094	15	26.2
3453246	15	26.2
3453398	15	26.2
3453550	15	26.2
3453702	15	26.2
3453855	15	26.2
3454006	15	26.2
3454158	15	26
3454311	15	26.2
3454460	15	26
3454613	15	26.2
3454764	15	26.2
3454917	15	26.2
3455068	15	26.2
3455220	15	26.2
3455373	15	26.2
3455525	15	26.2
3455677	15	26.2
3455829	15	26.2
3455981	15	26.2
3456135	15	26.2
3456287	15	26.2
3456439	15	26.2
3456591	15	26.2
3456743	15	26.2
3456895	15	26.2
3457047	15	26.2
3457199	15	26.2
3457351	15	26.2
3457503	15	26.2
3457657	15	26.2
3457809	15	24.6
3457961	15	26.2
3458113	15	26.2
3458265	15	26.2
3458417	15	26.2
3458569	15	26.2
3458721	15	26.2
3458873	15	26.2
3459025	15	26.2
3459177	15	26.2
3459327	15	26.2
3459479	15	26.2
3459631	15	26.2
3459783	15	26.2
3459935	15	26.2
3460087	15	26.2
3460239	15	26.2
3460393	15	26.2
3460543	15	26.2
3460695	15	26.2
3460853	15	26.2
3461005	15	26.2
3461157	15	26.2
3461309	15	26.2
3461461	15	26.2
3461613	15	26.2
3461765	15	26.2
3461917	15	26.2
3462069	15	26.2
3462221	15	26.2
3462373	15	26.2
3462527	15	26.2
3462679	15	26.2
3462831	15	26.4
3462983	15	26.2
3463135	15	26.2
3463287	15	26.2
