timestamp	value
389947	40
390046	39
390146	40
390247	38
390347	39
390488	40
390547	40
390647	40
390747	40
390846	40
390946	40
391047	40
391147	40
391247	40
391346	40
391447	40
391546	39
391647	40
391747	39
391847	40
391947	40
392047	40
392147	40
392247	40
392347	40
392447	40
392547	40
392647	40
392747	40
392847	39
392947	40
393047	39
393147	40
393247	39
393347	40
393447	38
393547	40
393647	37
393747	40
393847	40
393947	40
394047	40
394147	40
394247	40
394447	40
394550	40
394647	39
394747	40
394847	40
395047	40
395147	38
395247	40
395347	39
395447	40
395547	37
395647	40
395747	40
395847	40
395947	40
396047	40
396147	40
396247	39
396347	40
396447	37
396547	40
396647	37
396747	39
396847	40
396947	40
397047	40
397147	40
397247	40
397347	40
397447	40
397547	40
397647	40
397747	40
397847	40
397947	39
398047	40
398147	39
398247	40
398347	37
398447	40
398547	40
398647	40
398747	40
398847	40
398947	40
399047	40
399147	38
399247	40
399347	40
399447	39
399547	40
399647	39
399747	40
399847	37
399947	40
400047	40
400147	40
400247	40
400347	40
400447	40
400547	40
400647	40
400747	40
400847	40
400947	39
401047	40
401147	39
401247	40
401347	38
401447	40
401547	38
401647	40
401747	40
401847	40
401947	40
402047	40
402147	40
402247	40
402347	40
402447	40
402547	40
402647	40
402747	40
402847	39
402947	40
403047	38
403147	40
403247	40
403347	40
403447	40
403547	40
403647	40
403747	40
403847	40
404047	40
404147	40
404247	40
404347	37
404447	40
404647	40
404747	37
404847	40
404947	40
405047	40
405247	40
405347	40
405447	40
405547	40
405647	40
405847	39
405947	40
406047	38
406147	40
406247	37
406447	40
406547	40
406647	40
406747	40
406847	40
407047	39
407147	40
407247	38
407347	39
407447	40
407547	39
407647	40
407747	38
407847	40
407947	38
408047	40
408247	40
408347	40
408447	40
408647	40
408847	39
408947	40
409047	38
409147	40
409247	38
409447	38
409547	40
409647	40
409747	40
409847	40
410047	40
410147	40
410347	40
410447	40
410647	40
410747	39
410847	39
410947	38
411047	40
411247	40
411347	40
411447	40
411547	39
411647	40
411747	40
411847	40
411947	39
412047	37
412147	40
412247	38
412347	40
412447	40
412547	40
412747	40
412847	40
412947	40
413047	40
413147	40
413347	40
413447	40
413547	39
413647	40
413747	39
413947	39
414047	40
414147	37
414247	40
414347	40
414547	40
414647	40
414747	40
414847	40
414947	40
415147	39
415247	39
415347	40
415447	39
415547	40
415747	40
415847	39
415947	40
416047	40
416147	40
416348	40
416447	40
416547	40
416647	40
416747	39
416847	40
416947	38
417347	38
417447	40
417547	40
417647	38
417747	40
417847	37
417947	40
418047	40
418147	39
418247	40
418347	37
418447	40
418547	40
418647	39
418747	40
418847	37
418947	40
419047	40
419147	40
419247	40
419347	40
419447	40
419547	40
419647	37
419747	40
419847	40
419947	40
420047	40
420147	39
420247	40
420347	37
420547	40
420647	40
420747	40
420847	40
420947	40
421147	40
421247	40
421347	40
421447	39
421547	40
421747	40
421847	39
421947	40
422047	37
422147	40
422347	39
422447	40
422547	40
422647	40
422747	40
422847	40
422947	40
423047	40
423147	39
423247	39
423347	39
423447	40
423547	38
423647	40
423747	39
423847	40
423947	39
424047	40
424147	40
424247	40
424347	40
424447	40
424547	40
424647	39
424747	40
424847	38
424947	40
425047	40
425147	40
425247	38
425347	40
425447	40
425647	40
425747	40
425847	40
425947	40
426047	39
426247	40
426347	40
426448	40
426547	39
426647	40
426847	39
426947	40
427047	40
427148	40
427247	40
427347	40
427447	40
427547	40
427647	40
427747	38
427847	40
428047	39
428147	40
428247	39
428347	40
428447	40
428647	40
428747	40
428847	40
428947	40
429047	40
429247	40
429347	40
429447	40
429547	38
429647	40
429848	40
429947	37
430047	40
430147	40
430247	40
430447	40
430548	40
430647	40
430747	40
430847	40
431047	39
431147	40
431247	39
431348	38
431447	38
431647	40
431747	37
431947	40
432048	39
432147	40
432247	40
432347	37
432448	40
432547	40
432647	40
432747	38
432848	40
433047	40
433150	40
433247	40
433347	40
433447	40
433548	40
433647	40
433747	40
433847	40
433948	40
434047	39
434147	40
434348	40
434447	40
434647	38
434748	40
434947	40
435048	40
435247	40
435347	40
435547	40
