timestamp	latitude_m	latitude_o	speed
490646	0	72	0
490747	0	72	0
490846	0	72	0
490946	0	72	0
491046	0	72	0
491205	0	72	0
491246	0	72	0
491346	0	72	0
491446	0	72	0
491547	0	72	0
491646	0	72	0
491746	0	72	0
491847	0	72	0
491947	0	72	0
492046	0	72	0
492146	0	72	0
492247	0	72	0
492347	0	72	0
492446	0	72	0
492547	0	72	0
492647	0	72	0
492747	0	72	0
492846	0	72	0
492946	0	72	0
493047	0	72	0
493146	0	72	0
493247	0	72	0
493346	0	72	0
493447	0	72	0
493547	0	72	0
493646	0	72	0
493747	0	72	0
493846	0	72	0
493947	0	72	0
494046	0	72	0
494147	0	72	0
494247	0	72	0
494346	0	72	0
494446	0	72	0
494547	0	72	0
494646	0	72	0
494747	0	72	0
494846	0	72	0
494947	0	72	0
495047	0	72	0
495147	0	72	0
495247	0	72	0
495347	0	72	0
495446	0	72	0
495547	0	72	0
495647	0	72	0
495747	0	72	0
495847	0	72	0
495947	0	72	0
496047	0	72	0
496147	0	72	0
496247	0	72	0
496347	0	72	0
496447	0	72	0
496547	0	72	0
496647	0	72	0
496747	0	72	0
496847	0	72	0
496947	0	72	0
497047	0	72	0
497147	0	72	0
497247	0	72	0
497347	0	72	0
497447	0	72	0
497547	0	72	0
497647	0	72	0
497747	0	72	0
497848	0	72	0
497947	0	72	0
498047	0	72	0
498147	0	72	0
498247	0	72	0
498347	0	72	0
498447	0	72	0
498547	0	72	0
498647	0	72	0
498747	0	72	0
498847	0	72	0
498947	0	72	0
499047	0	72	0
499147	0	72	0
499247	0	72	0
499347	0	72	0
499447	0	72	0
499547	0	72	0
499647	0	72	0
499747	0	72	0
499847	0	72	0
499947	0	72	0
500047	0	72	0
500147	0	72	0
500247	0	72	0
500347	0	72	0
500447	0	72	0
500547	0	72	0
500647	0	72	0
500747	0	72	0
500847	0	72	0
500947	0	72	0
501047	0	72	0
501247	0	72	0
501347	0	72	0
501447	0	72	0
501547	0	72	0
501647	0	72	0
501747	0	72	0
501847	0	72	0
501947	0	72	0
502047	0	72	0
502147	0	72	0
502247	0	72	0
502347	0	72	0
502447	0	72	0
502547	0	72	0
502647	0	72	0
502747	0	72	0
502847	0	72	0
502948	0	72	0
503047	0	72	0
503147	0	72	0
503247	0	72	0
503347	0	72	0
503447	0	72	0
503547	0	72	0
503647	0	72	0
503747	0	72	0
503847	0	72	0
503947	0	72	0
504047	0	72	0
504147	0	72	0
504247	0	72	0
504347	0	72	0
504447	0	72	0
504547	0	72	0
504647	0	72	0
504747	0	72	0
504847	0	72	0
504947	0	72	0
505047	0	72	0
505147	0	72	0
505247	0	72	0
505347	0	72	0
505447	0	72	0
505547	0	72	0
505647	0	72	0
505747	0	72	0
505847	0	72	0
505947	0	72	0
506047	0	72	0
506147	0	72	0
506247	0	72	0
506347	0	72	0
506447	0	72	0
506547	0	72	0
506647	0	72	0
506747	0	72	0
506847	0	72	0
506947	0	72	0
507047	0	72	0
507147	0	72	0
507247	0	72	0
507347	0	72	0
507447	0	72	0
507547	0	72	0
507647	0	72	0
507747	0	72	0
507847	0	72	0
507947	0	72	0
508048	0	72	0
508147	0	72	0
508247	0	72	0
508347	0	72	0
508447	0	72	0
508547	0	72	0
508647	0	72	0
508747	0	72	0
508847	0	72	0
508947	0	72	0
509047	0	72	0
509147	0	72	0
509247	0	72	0
509347	0	72	0
509447	0	72	0
509547	0	72	0
509647	0	72	0
509747	0	72	0
509847	0	72	0
509947	0	72	0
510047	0	72	0
510147	0	72	0
510247	0	72	0
510347	0	72	0
510447	0	72	0
510547	0	72	0
510647	0	72	0
510747	0	72	0
510847	0	72	0
510947	0	72	0
511047	0	72	0
511147	0	72	0
511247	0	72	0
511347	0	72	0
511447	0	72	0
511547	0	72	0
511647	0	72	0
511747	0	72	0
511847	0	72	0
511947	0	72	0
512047	0	72	0
512147	0	72	0
512247	0	72	0
512347	0	72	0
512447	0	72	0
512547	0	72	0
512647	0	72	0
512747	0	72	0
512847	0	72	0
512947	0	72	0
513047	0	72	0
513147	0	72	0
513247	0	72	0
513347	0	72	0
513447	0	72	0
513547	0	72	0
513647	0	72	0
513747	0	72	0
513847	0	72	0
513947	0	72	0
514047	0	72	0
514147	0	72	0
514247	0	72	0
514347	0	72	0
514447	0	72	0
514547	0	72	0
514648	0	72	0
514747	0	72	0
514847	0	72	0
514947	0	72	0
515047	0	72	0
515147	0	72	0
515247	0	72	0
515347	0	72	0
515447	0	72	0
515547	0	72	0
515647	0	72	0
515747	0	72	0
515847	0	72	0
515947	0	72	0
516047	0	72	0
516147	0	72	0
516247	0	72	0
516347	0	72	0
516447	0	72	0
516547	0	72	0
516647	0	72	0
516747	0	72	0
516847	0	72	0
516947	0	72	0
517047	0	72	0
517147	0	72	0
517247	0	72	0
517347	0	72	0
517447	0	72	0
517547	0	72	0
517647	0	72	0
517747	0	72	0
517847	0	72	0
517947	0	72	0
518047	0	72	0
518147	0	72	0
518247	0	72	0
518347	0	72	0
518447	0	72	0
518547	0	72	0
518647	0	72	0
518747	0	72	0
518847	0	72	0
518947	0	72	0
519047	0	72	0
519147	0	72	0
519247	0	72	0
519347	0	72	0
519447	0	72	0
519547	0	72	0
519647	0	72	0
519747	0	72	0
519847	0	72	0
519947	0	72	0
520047	0	72	0
520147	0	72	0
520247	0	72	0
520347	0	72	0
520447	0	72	0
520847	0	72	0
521047	0	72	0
521249	0	72	0
521347	0	72	0
521447	0	72	0
521547	0	72	0
521647	0	72	0
521747	0	72	0
521847	0	72	0
521947	0	72	0
522047	0	72	0
522147	0	72	0
522247	0	72	0
522347	0	72	0
522447	0	72	0
522547	0	72	0
522647	0	72	0
522747	0	72	0
522847	0	72	0
522947	0	72	0
523047	0	72	0
523147	0	72	0
523247	0	72	0
523347	0	72	0
523447	0	72	0
523547	0	72	0
523647	0	72	0
523747	0	72	0
523847	0	72	0
523947	0	72	0
524047	0	72	0
524147	0	72	0
524247	0	72	0
524347	0	72	0
524447	0	72	0
524547	0	72	0
524647	0	72	0
524747	0	72	0
524847	0	72	0
524947	0	72	0
525047	0	72	0
525147	0	72	0
525247	0	72	0
525347	0	72	0
525447	0	72	0
525547	0	72	0
525647	0	72	0
525747	0	72	0
525847	0	72	0
525947	0	72	0
526047	0	72	0
526147	0	72	0
526247	0	72	0
526347	0	72	0
526447	0	72	0
526547	0	72	0
526647	0	72	0
526747	0	72	0
526847	0	72	0
526947	0	72	0
527047	0	72	0
527147	0	72	0
527247	0	72	0
527347	0	72	0
527447	0	72	0
527547	0	72	0
527647	0	72	0
527747	0	72	0
527848	0	72	0
527947	0	72	0
528047	0	72	0
528147	0	72	0
528247	0	72	0
528347	0	72	0
528447	0	72	0
528547	0	72	0
528647	0	72	0
528747	0	72	0
528847	0	72	0
528947	0	72	0
529047	0	72	0
529147	0	72	0
529247	0	72	0
529347	0	72	0
529447	0	72	0
529547	0	72	0
529647	0	72	0
529747	0	72	0
529847	0	72	0
529947	0	72	0
530047	0	72	0
530147	0	72	0
530247	0	72	0
530347	0	72	0
530447	0	72	0
530547	0	72	0
530647	0	72	0
530747	0	72	0
530847	0	72	0
530947	0	72	0
531047	0	72	0
531147	0	72	0
531247	0	72	0
531347	0	72	0
531447	0	72	0
531547	0	72	0
531647	0	72	0
531747	0	72	0
531847	0	72	0
531947	0	72	0
532047	0	72	0
532148	0	72	0
532247	0	72	0
532347	0	72	0
532447	0	72	0
532548	0	72	0
532647	0	72	0
532747	0	72	0
532848	0	72	0
532948	0	72	0
533047	0	72	0
533147	0	72	0
533248	0	72	0
533347	0	72	0
533447	0	72	0
533547	0	72	0
533648	0	72	0
533747	0	72	0
533847	0	72	0
533947	0	72	0
534048	0	72	0
534147	0	72	0
534247	0	72	0
534347	0	72	0
534447	0	72	0
534547	0	72	0
534647	0	72	0
534748	0	72	0
534847	0	72	0
534947	0	72	0
535047	0	72	0
535148	0	72	0
535247	0	72	0
535347	0	72	0
535447	0	72	0
535548	0	72	0
535647	0	72	0
535747	0	72	0
535847	0	72	0
535947	0	72	0
536047	0	72	0
536147	0	72	0
536248	0	72	0
536347	0	72	0
536447	0	72	0
536547	0	72	0
536648	0	72	0
536747	0	72	0
536847	0	72	0
536947	0	72	0
537048	0	72	0
537147	0	72	0
537247	0	72	0
537347	0	72	0
537448	0	72	0
537547	0	72	0
537647	0	72	0
537748	0	72	0
537847	0	72	0
537947	0	72	0
538049	0	72	0
538148	0	72	0
538247	0	72	0
538347	0	72	0
538447	0	72	0
538548	0	72	0
538647	0	72	0
538747	0	72	0
538847	0	72	0
538948	0	72	0
539047	0	72	0
539147	0	72	0
539247	0	72	0
539348	0	72	0
539447	0	72	0
539547	0	72	0
539648	0	72	0
539747	0	72	0
539847	0	72	0
539947	0	72	0
540048	0	72	0
540147	0	72	0
540247	0	72	0
540347	0	72	0
540448	0	72	0
540547	0	72	0
540647	0	72	0
540748	0	72	0
540848	0	72	0
540947	0	72	0
541047	0	72	0
541148	0	72	0
541247	0	72	0
541347	0	72	0
541447	0	72	0
541548	0	72	0
541647	0	72	0
541747	0	72	0
541847	0	72	0
541948	0	72	0
542047	0	72	0
542147	0	72	0
542247	0	72	0
542447	0	72	0
542648	0	72	0
543048	0	72	0
543147	0	72	0
543247	0	72	0
543347	0	72	0
543448	0	72	0
543548	0	72	0
543648	0	72	0
543747	0	72	0
543848	0	72	0
543947	0	72	0
544047	0	72	0
544148	0	72	0
544248	0	72	0
544347	0	72	0
544447	0	72	0
544548	0	72	0
544647	0	72	0
544747	0	72	0
544847	0	72	0
544948	0	72	0
545047	0	72	0
545147	0	72	0
545247	0	72	0
545348	0	72	0
545447	0	72	0
545548	0	72	0
545648	0	72	0
545748	0	72	0
545847	0	72	0
545947	0	72	0
546048	0	72	0
546148	0	72	0
546248	0	72	0
546348	0	72	0
546448	0	72	0
546548	0	72	0
546648	0	72	0
546747	0	72	0
546848	0	72	0
546948	0	72	0
547048	0	72	0
547148	0	72	0
547248	0	72	0
547348	0	72	0
547448	0	72	0
547548	0	72	0
547648	0	72	0
547748	0	72	0
547848	0	72	0
547948	0	72	0
548048	0	72	0
