timestamp	longitude_m	longitude_o	altitude
121314	0	104	0
121414	0	104	0
121514	0	104	0
121614	0	104	0
121714	0	104	0
121814	0	104	0
121914	0	104	0
122014	0	104	0
122114	0	104	0
122214	0	104	0
122314	0	104	0
122414	0	104	0
122515	0	104	0
122614	0	104	0
122714	0	104	0
122817	0	104	0
122914	0	104	0
123014	0	104	0
123114	0	104	0
123214	0	104	0
123314	0	104	0
123414	0	104	0
123514	0	104	0
123614	0	104	0
123714	0	104	0
123814	0	104	0
123914	0	104	0
124014	0	104	0
124114	0	104	0
124214	0	104	0
124314	0	104	0
124414	0	104	0
124514	0	104	0
124614	0	104	0
124714	0	104	0
124814	0	104	0
124914	0	104	0
125014	0	104	0
125114	0	104	0
125214	0	104	0
125314	0	104	0
125414	0	104	0
125514	0	104	0
125614	0	104	0
125714	0	104	0
125814	0	104	0
125914	0	104	0
126014	0	104	0
126114	0	104	0
126214	0	104	0
126314	0	104	0
126414	0	104	0
126514	0	104	0
126614	0	104	0
126714	0	104	0
126814	0	104	0
126914	0	104	0
127014	0	104	0
127114	0	104	0
127214	0	104	0
127314	0	104	0
127414	0	104	0
127514	0	104	0
127614	0	104	0
127714	0	104	0
127814	0	104	0
127914	0	104	0
128014	0	104	0
128114	0	104	0
128214	0	104	0
128314	0	104	0
128414	0	104	0
128514	0	104	0
128614	0	104	0
128714	0	104	0
128814	0	104	0
128914	0	104	0
129014	0	104	0
129114	0	104	0
129214	0	104	0
129314	0	104	0
129414	0	104	0
129514	0	104	0
129614	0	104	0
129714	0	104	0
129814	0	104	0
129914	0	104	0
130014	0	104	0
130114	0	104	0
130214	0	104	0
130314	0	104	0
130414	0	104	0
130514	0	104	0
130614	0	104	0
130714	0	104	0
130814	0	104	0
130914	0	104	0
131014	0	104	0
131114	0	104	0
131214	0	104	0
131314	0	104	0
131414	0	104	0
131514	0	104	0
131614	0	104	0
131714	0	104	0
131814	0	104	0
131914	0	104	0
132014	0	104	0
132114	0	104	0
132214	0	104	0
132314	0	104	0
132414	0	104	0
132514	0	104	0
132614	0	104	0
132714	0	104	0
132814	0	104	0
132914	0	104	0
133014	0	104	0
133114	0	104	0
133214	0	104	0
133314	0	104	0
133414	0	104	0
133514	0	104	0
133614	0	104	0
133714	0	104	0
133814	0	104	0
133914	0	104	0
134014	0	104	0
134114	0	104	0
134214	0	104	0
134314	0	104	0
134414	0	104	0
134514	0	104	0
134614	0	104	0
134714	0	104	0
134814	0	104	0
134914	0	104	0
135014	0	104	0
135114	0	104	0
135214	0	104	0
135314	0	104	0
135414	0	104	0
135514	0	104	0
135614	0	104	0
135714	0	104	0
135814	0	104	0
135914	0	104	0
136014	0	104	0
136114	0	104	0
136214	0	104	0
136314	0	104	0
136414	0	104	0
136514	0	104	0
136614	0	104	0
136714	0	104	0
136814	0	104	0
136914	0	104	0
137014	0	104	0
137114	0	104	0
137214	0	104	0
137314	0	104	0
137414	0	104	0
137514	0	104	0
137614	0	104	0
137714	0	104	0
137814	0	104	0
137914	0	104	0
138014	0	104	0
138114	0	104	0
138214	0	104	0
138314	0	104	0
138414	0	104	0
138514	0	104	0
138615	0	104	0
138714	0	104	0
138814	0	104	0
138914	0	104	0
139014	0	104	0
139114	0	104	0
139214	0	104	0
139314	0	104	0
139414	0	104	0
139814	0	104	0
139914	0	104	0
140014	0	104	0
140114	0	104	0
140214	0	104	0
140314	0	104	0
140414	0	104	0
140514	0	104	0
140614	0	104	0
140714	0	104	0
140814	0	104	0
140914	0	104	0
141014	0	104	0
141114	0	104	0
141214	0	104	0
141315	0	104	0
141414	0	104	0
141514	0	104	0
141614	0	104	0
141714	0	104	0
141814	0	104	0
141914	0	104	0
142015	0	104	0
142114	0	104	0
142214	0	104	0
142314	0	104	0
142414	0	104	0
142514	0	104	0
142614	0	104	0
142714	0	104	0
142814	0	104	0
142914	0	104	0
143014	0	104	0
143114	0	104	0
