timestamp	voltage	temperature
389987	14.2	23.8
390139	14.2	23.8
390291	14.2	23.8
390488	14.2	23.8
390595	14.2	23.8
390747	14.2	23.8
390899	14.2	23.8
391053	14.2	23.8
391205	14.2	23.8
391357	14.2	23.8
391509	14.2	23.8
391661	14.2	24
391813	14.2	23.8
391965	14.2	23.8
392117	14.2	23.8
392269	14.2	23.8
392421	14.2	23.6
392571	14.2	24
392723	14.2	23.8
392875	14.2	23.8
393029	14.2	23.8
393179	14.2	23.8
393331	14.2	23.8
393483	14.2	23.8
393635	14.2	23.8
393787	14.2	23.8
393939	14.2	23.8
394091	14.2	23.8
394245	14.2	23.8
394397	14.2	23.8
394550	14.2	23.8
394701	14.2	23.8
394853	14.2	23.8
395005	14.2	23.8
395157	14.2	24
395309	14.2	23.8
395461	14.2	23.8
395613	14.2	23.8
395767	14.2	23.8
395919	14.2	23.8
396071	14.2	23.8
396223	14.2	23.8
396375	14.2	23.8
396527	14.2	23.8
396679	14.2	23.8
396831	14.2	23.8
396983	14.2	23.8
397135	14.2	23.8
397287	14.2	23.8
397437	14.2	23.8
397589	14.2	23.8
397741	14.2	23.8
397893	14.2	23.8
398045	14.2	23.8
398197	14.2	23.8
398349	14.2	23.8
398501	14.2	23.8
398653	14.2	23.8
398805	14.2	23.8
398959	14.2	24
399111	14.2	23.8
399263	14.2	24
399415	14.2	23.8
399567	14.2	23.8
399719	14.2	23.8
399871	14.2	23.8
400023	14.2	23.8
400175	14.2	23.8
400327	14.2	23.8
400479	14.2	23.8
400633	14.2	23.8
400785	14.2	23.6
400937	14.2	23.8
401089	14.2	23.8
401241	14.2	23.8
401393	14.2	23.8
401545	14.2	23.8
401697	14.2	23.8
401849	14.2	23.8
402001	14.2	23.8
402158	14.2	23.8
402307	14.2	23.8
402459	14.2	23.8
402611	14.2	23.8
402763	14.2	23.8
402915	14.2	23.8
403067	14.2	23.8
403219	14.2	23.8
403371	14.2	23.8
403523	14.2	23.8
403675	14.2	23.8
403829	14.2	23.8
403981	14.2	23.8
404133	14.2	24
404285	14.2	23.8
404437	14.2	23.8
404589	14.2	23.8
404741	14.2	23.8
404893	14.2	23.8
405045	14.2	23.8
405197	14.2	23.8
405349	14.2	23.8
405503	14.2	23.8
405655	14.2	23.8
405807	14.2	23.8
405959	14.2	23.8
406111	14.2	23.8
406263	14.2	23.8
406415	14.2	23.8
406567	14.2	23.8
406719	14.2	23.8
406871	14.2	23.8
407025	14.2	23.8
407177	14.2	23.8
407329	14.2	23.8
407481	14.2	23.8
407633	14.2	23.8
407785	14.2	23.8
407937	14.2	23.8
408089	14.2	23.8
408241	14.2	23.8
408393	14.2	23.8
408545	14.2	23.8
408699	14.2	23.8
408851	14.2	23.8
409004	14.2	23.8
409155	14.2	23.8
409307	14.2	23.8
409459	14.2	23.8
409611	14.2	23.8
409763	14.2	23.8
409915	14.2	23.8
410067	14.2	23.8
410217	14.2	23.8
410369	14.2	23.8
410521	14.2	23.8
410673	14.2	23.6
410825	14.2	23.8
410977	14.2	23.8
411129	14.2	23.8
411281	14.2	23.8
