timestamp	latitude_m	latitude_o	speed
3434489	0	72	0
3434589	0	72	0
3434689	0	72	0
3434789	0	72	0
3434889	0	72	0
3434989	0	72	0
3435089	0	72	0
3435189	0	72	0
3435289	0	72	0
3435389	0	72	0
3435489	0	72	0
3435589	0	72	0
3435689	0	72	0
3435789	0	72	0
3435889	0	72	0
3435989	0	72	0
3436089	0	72	0
3436189	0	72	0
3436289	0	72	0
3436389	0	72	0
3436489	0	72	0
3436589	0	72	0
3436689	0	72	0
3436789	0	72	0
3436889	0	72	0
3436990	0	72	0
3437089	0	72	0
3437189	0	72	0
3437289	0	72	0
3437389	0	72	0
3437489	0	72	0
3437589	0	72	0
3437689	0	72	0
3437789	0	72	0
3437889	0	72	0
3437989	0	72	0
3438089	0	72	0
3438189	0	72	0
3438289	0	72	0
3438389	0	72	0
3438589	0	72	0
3438689	0	72	0
3438789	0	72	0
3438889	0	72	0
3438989	0	72	0
3439089	0	72	0
3439189	0	72	0
3439289	0	72	0
3439389	0	72	0
3439489	0	72	0
3439589	0	72	0
3439689	0	72	0
3439789	0	72	0
3439889	0	72	0
3439989	0	72	0
3440089	0	72	0
3440189	0	72	0
3440289	0	72	0
3440389	0	72	0
3440489	0	72	0
3440589	0	72	0
3440689	0	72	0
3440789	0	72	0
3440889	0	72	0
3440989	0	72	0
3441189	0	72	0
3441289	0	72	0
3441389	0	72	0
3441589	0	72	0
3441689	0	72	0
3441789	0	72	0
3441889	0	72	0
3441989	0	72	0
3442089	0	72	0
3442189	0	72	0
3442289	0	72	0
3442389	0	72	0
3442489	0	72	0
3442589	0	72	0
3442689	0	72	0
3442789	0	72	0
3442889	0	72	0
3442989	0	72	0
3443089	0	72	0
3443189	0	72	0
3443289	0	72	0
3443389	0	72	0
3443489	0	72	0
3443589	0	72	0
3443689	0	72	0
3443789	0	72	0
3443889	0	72	0
3443989	0	72	0
3444089	0	72	0
3444189	0	72	0
3444289	0	72	0
3444389	0	72	0
3444489	0	72	0
3444589	0	72	0
3444689	0	72	0
3444789	0	72	0
3444889	0	72	0
3444989	0	72	0
3445089	0	72	0
3445189	0	72	0
3445289	0	72	0
3445389	0	72	0
3445489	0	72	0
3445589	0	72	0
3445689	0	72	0
3445789	0	72	0
3445889	0	72	0
3445989	0	72	0
3446089	0	72	0
3446189	0	72	0
3446289	0	72	0
3446389	0	72	0
3446489	0	72	0
3446589	0	72	0
3446689	0	72	0
3446789	0	72	0
3446889	0	72	0
3446989	0	72	0
3447089	0	72	0
3447189	0	72	0
3447289	0	72	0
3447389	0	72	0
3447489	0	72	0
3447589	0	72	0
3447689	0	72	0
3447789	0	72	0
3447889	0	72	0
3447989	0	72	0
3448089	0	72	0
3448189	0	72	0
3448289	0	72	0
3448389	0	72	0
3448489	0	72	0
3448589	0	72	0
3448689	0	72	0
3448789	0	72	0
3448889	0	72	0
3448989	0	72	0
3449089	0	72	0
3449190	0	72	0
3449389	0	72	0
3449489	0	72	0
3449589	0	72	0
3449689	0	72	0
3449789	0	72	0
3449889	0	72	0
3449989	0	72	0
3450089	0	72	0
3450189	0	72	0
3450289	0	72	0
3450389	0	72	0
3450489	0	72	0
3450589	0	72	0
3450689	0	72	0
3450789	0	72	0
3450889	0	72	0
3450989	0	72	0
3451089	0	72	0
3451189	0	72	0
3451289	0	72	0
3451389	0	72	0
3451489	0	72	0
3451590	0	72	0
3451689	0	72	0
3451789	0	72	0
3451889	0	72	0
3451989	0	72	0
3452089	0	72	0
3452189	0	72	0
3452290	0	72	0
3452389	0	72	0
3452489	0	72	0
3452589	0	72	0
3452689	0	72	0
3452789	0	72	0
3452889	0	72	0
3452989	0	72	0
3453089	0	72	0
3453189	0	72	0
3453289	0	72	0
3453389	0	72	0
3453489	0	72	0
3453589	0	72	0
3453689	0	72	0
3453789	0	72	0
3453889	0	72	0
3453989	0	72	0
3454089	0	72	0
3454190	0	72	0
3454289	0	72	0
3454389	0	72	0
3454489	0	72	0
3454589	0	72	0
3454689	0	72	0
3454789	0	72	0
3454889	0	72	0
3454989	0	72	0
3455089	0	72	0
3455189	0	72	0
3455289	0	72	0
3455389	0	72	0
3455489	0	72	0
3455589	0	72	0
3455689	0	72	0
3455789	0	72	0
3455889	0	72	0
3455989	0	72	0
3456090	0	72	0
3456189	0	72	0
3456289	0	72	0
3456389	0	72	0
3456490	0	72	0
3456589	0	72	0
3456689	0	72	0
3456790	0	72	0
3456889	0	72	0
3456989	0	72	0
3457089	0	72	0
3457190	0	72	0
3457289	0	72	0
3457389	0	72	0
3457489	0	72	0
3457590	0	72	0
3457689	0	72	0
3457789	0	72	0
3457889	0	72	0
3457990	0	72	0
3458089	0	72	0
3458189	0	72	0
3458289	0	72	0
3458389	0	72	0
3458489	0	72	0
3458589	0	72	0
3458690	0	72	0
3458789	0	72	0
3458889	0	72	0
3458989	0	72	0
3459090	0	72	0
3459189	0	72	0
3459289	0	72	0
3459389	0	72	0
3459490	0	72	0
3459589	0	72	0
3459689	0	72	0
3459789	0	72	0
3459890	0	72	0
3459989	0	72	0
3460089	0	72	0
3460190	0	72	0
3460289	0	72	0
3460389	0	72	0
3460489	0	72	0
3460590	0	72	0
3460689	0	72	0
3460789	0	72	0
3460889	0	72	0
3460990	0	72	0
3461089	0	72	0
3461189	0	72	0
3461289	0	72	0
3461390	0	72	0
3461489	0	72	0
3461589	0	72	0
3461689	0	72	0
3461789	0	72	0
3461889	0	72	0
3461989	0	72	0
3462090	0	72	0
3462189	0	72	0
3462289	0	72	0
3462389	0	72	0
3462490	0	72	0
3462589	0	72	0
3462689	0	72	0
3462789	0	72	0
3462890	0	72	0
3462989	0	72	0
3463089	0	72	0
3463189	0	72	0
3463290	0	72	0
3463389	0	72	0
3463489	0	72	0
3463590	0	72	0
3463690	0	72	0
3463789	0	72	0
3463889	0	72	0
3463990	0	72	0
3464089	0	72	0
3464190	0	72	0
3464289	0	72	0
3464390	0	72	0
