timestamp	speed	speedms
390054	0	0
390255	0	0
390355	0	0
390488	0	0
390554	0	0
390654	0	0
390755	0	0
390854	0	0
390955	0	0
391055	0	0
391155	0	0
391255	0	0
391354	0	0
391455	0	0
391555	0	0
391655	0	0
391754	0	0
391855	0	0
391955	0	0
392055	0	0
392155	0	0
392255	0	0
392355	0	0
392455	0	0
392555	0	0
392655	0	0
392755	0	0
392855	0	0
392955	0	0
393055	0	0
393155	0	0
393255	0	0
393355	0	0
393455	0	0
393555	0	0
393655	0	0
393755	0	0
393855	0	0
393955	0	0
394055	0	0
394155	0	0
394255	0	0
394355	0	0
394455	0	0
394555	0	0
394655	0	0
394755	0	0
394855	0	0
394955	0	0
395055	0	0
395155	0	0
395255	0	0
395355	0	0
395455	0	0
395555	0	0
395655	0	0
395755	0	0
395855	0	0
395955	0	0
396055	0	0
396155	0	0
396255	0	0
396355	0	0
396455	0	0
396555	0	0
396655	0	0
396755	0	0
396855	0	0
396955	0	0
397055	0	0
397155	0	0
397255	0	0
397355	0	0
397455	0	0
397555	0	0
397655	0	0
397755	0	0
397855	0	0
397955	0	0
398055	0	0
398155	0	0
398255	0	0
398355	0	0
398455	0	0
398555	0	0
398655	0	0
398755	0	0
398855	0	0
398955	0	0
399055	0	0
399155	0	0
399255	0	0
399355	0	0
399455	0	0
399555	0	0
399655	0	0
399755	0	0
399855	0	0
399955	0	0
400055	0	0
400155	0	0
400255	0	0
400355	0	0
400455	0	0
400555	0	0
400655	0	0
400755	0	0
400855	0	0
400955	0	0
401055	0	0
401155	0	0
401255	0	0
401355	0	0
401455	0	0
401555	0	0
401655	0	0
401755	0	0
401855	0	0
401955	0	0
402055	0	0
402155	0	0
402255	0	0
402355	0	0
402455	0	0
402555	0	0
402655	0	0
402755	0	0
402855	0	0
402955	0	0
403055	0	0
403155	0	0
403255	0	0
403355	0	0
403455	0	0
403555	0	0
403655	0	0
403755	0	0
403855	0	0
403955	0	0
404055	0	0
404155	0	0
404255	0	0
404355	0	0
404455	0	0
404555	0	0
404655	0	0
404755	0	0
404855	0	0
404955	0	0
405055	0	0
405155	0	0
405255	0	0
405355	0	0
405455	0	0
405555	0	0
405655	0	0
405755	0	0
405855	0	0
405955	0	0
406055	0	0
406155	0	0
406255	0	0
406355	0	0
406455	0	0
406555	0	0
406655	0	0
406755	0	0
406855	0	0
406955	0	0
407055	0	0
407155	0	0
407255	0	0
407355	0	0
407455	0	0
407555	0	0
407655	0	0
407755	0	0
407855	0	0
407955	0	0
408055	0	0
408155	0	0
408255	0	0
408355	0	0
408455	0	0
408555	0	0
408655	0	0
408755	0	0
408855	0	0
408955	0	0
409055	0	0
409155	0	0
409255	0	0
409355	0	0
409455	0	0
409555	0	0
409655	0	0
409755	0	0
409855	0	0
409955	0	0
410055	0	0
410155	0	0
410255	0	0
410355	0	0
410455	0	0
410555	0	0
410655	0	0
410755	0	0
410855	0	0
410955	0	0
411055	0	0
411155	0	0
411255	0	0
411355	0	0
411455	0	0
411555	0	0
411655	0	0
411855	0	0
412055	0	0
412355	0	0
412455	0	0
412555	0	0
412655	0	0
412755	0	0
412855	0	0
412955	0	0
413055	0	0
413155	0	0
413255	0	0
413355	0	0
413455	0	0
413555	0	0
413655	0	0
413755	0	0
413855	0	0
413955	0	0
414055	0	0
414155	0	0
414255	0	0
414355	0	0
414455	0	0
414555	0	0
414655	0	0
414755	0	0
414855	0	0
414955	0	0
415055	0	0
415155	0	0
415255	0	0
415355	0	0
415455	0	0
415555	0	0
415655	0	0
415755	0	0
415855	0	0
415955	0	0
416055	0	0
416155	0	0
416255	0	0
416355	0	0
416455	0	0
416655	0	0
416755	0	0
416855	0	0
416955	0	0
417055	0	0
417155	0	0
417255	0	0
417355	0	0
417455	0	0
417555	0	0
417655	0	0
417755	0	0
417855	0	0
417955	0	0
418055	0	0
418155	0	0
418255	0	0
418355	0	0
418455	0	0
418555	0	0
418655	0	0
418755	0	0
418855	0	0
418955	0	0
419055	0	0
419155	0	0
419255	0	0
419355	0	0
419455	0	0
419555	0	0
419655	0	0
419755	0	0
419855	0	0
419955	0	0
420055	0	0
420155	0	0
420255	0	0
420355	0	0
420455	0	0
420555	0	0
420655	0	0
420755	0	0
420855	0	0
420955	0	0
421055	0	0
421155	0	0
421255	0	0
421355	0	0
421455	0	0
421555	0	0
421655	0	0
421755	0	0
421855	0	0
421955	0	0
422055	0	0
422155	0	0
422255	0	0
422355	0	0
422455	0	0
422555	0	0
422655	0	0
422755	0	0
422855	0	0
422955	0	0
423055	0	0
423155	0	0
423255	0	0
423355	0	0
423455	0	0
423555	0	0
423655	0	0
423755	0	0
423855	0	0
423955	0	0
424055	0	0
424155	0	0
424255	0	0
424355	0	0
424455	0	0
424555	0	0
424655	0	0
424755	0	0
424855	0	0
424955	0	0
425055	0	0
425155	0	0
425255	0	0
425356	0	0
425455	0	0
425555	0	0
425655	0	0
425755	0	0
425855	0	0
425955	0	0
426056	0	0
426155	0	0
426255	0	0
426355	0	0
426456	0	0
426555	0	0
426655	0	0
426755	0	0
426855	0	0
426955	0	0
427057	0	0
427155	0	0
427255	0	0
427355	0	0
427455	0	0
427555	0	0
427655	0	0
427755	0	0
427855	0	0
427955	0	0
428055	0	0
428155	0	0
428255	0	0
428355	0	0
428455	0	0
428555	0	0
428655	0	0
428755	0	0
428855	0	0
428955	0	0
429055	0	0
429155	0	0
429255	0	0
429355	0	0
429455	0	0
429555	0	0
429655	0	0
429755	0	0
429856	0	0
429955	0	0
430055	0	0
430155	0	0
430256	0	0
430355	0	0
430455	0	0
430556	0	0
430655	0	0
430755	0	0
430855	0	0
430956	0	0
431055	0	0
431155	0	0
431255	0	0
431356	0	0
431455	0	0
431555	0	0
431655	0	0
431756	0	0
431855	0	0
431955	0	0
432055	0	0
432155	0	0
432255	0	0
432355	0	0
432456	0	0
432555	0	0
432655	0	0
432755	0	0
432856	0	0
432955	0	0
433055	0	0
433155	0	0
433256	0	0
433355	0	0
433455	0	0
433555	0	0
433656	0	0
433755	0	0
433855	0	0
433956	0	0
434055	0	0
434155	0	0
434255	0	0
434356	0	0
434455	0	0
434555	0	0
434655	0	0
434756	0	0
434855	0	0
434955	0	0
435055	0	0
435156	0	0
435255	0	0
435355	0	0
435456	0	0
435555	0	0
435655	0	0
435755	0	0
435856	0	0
435955	0	0
436055	0	0
436155	0	0
436256	0	0
436355	0	0
436455	0	0
436555	0	0
436656	0	0
436755	0	0
436855	0	0
436956	0	0
437055	0	0
437155	0	0
437255	0	0
437455	0	0
437555	0	0
437655	0	0
437756	0	0
437855	0	0
437955	0	0
438055	0	0
438156	0	0
438255	0	0
438355	0	0
438456	0	0
438556	0	0
438655	0	0
438755	0	0
438856	0	0
438955	0	0
439055	0	0
439155	0	0
439256	0	0
439355	0	0
439455	0	0
439555	0	0
439656	0	0
439755	0	0
439855	0	0
439955	0	0
440056	0	0
440156	0	0
440255	0	0
440356	0	0
440456	0	0
440555	0	0
440655	0	0
440756	0	0
440856	0	0
440955	0	0
441055	0	0
441156	0	0
441255	0	0
441355	0	0
441455	0	0
441556	0	0
441655	0	0
441755	0	0
441856	0	0
441955	0	0
442055	0	0
442155	0	0
442256	0	0
442355	0	0
442455	0	0
442556	0	0
442656	0	0
442755	0	0
442855	0	0
442956	0	0
443056	0	0
443155	0	0
443256	0	0
443356	0	0
443456	0	0
443555	0	0
443656	0	0
443756	0	0
443855	0	0
443956	0	0
444056	0	0
444156	0	0
444256	0	0
444356	0	0
444456	0	0
444556	0	0
444656	0	0
444756	0	0
444856	0	0
444956	0	0
445056	0	0
445156	0	0
445256	0	0
445356	0	0
445456	0	0
445556	0	0
445656	0	0
445756	0	0
445856	0	0
445956	0	0
446056	0	0
446156	0	0
446256	0	0
446356	0	0
446456	0	0
446556	0	0
446656	0	0
446756	0	0
446856	0	0
446956	0	0
447056	0	0
447156	0	0
447256	0	0
447356	0	0
447456	0	0
447556	0	0
447656	0	0
447756	0	0
447856	0	0
447956	0	0
448056	0	0
448156	0	0
448256	0	0
448356	0	0
448456	0	0
448556	0	0
448656	0	0
448756	0	0
448856	0	0
448956	0	0
449056	0	0
449156	0	0
449256	0	0
449356	0	0
449456	0	0
449556	0	0
449656	0	0
449756	0	0
449856	0	0
449956	0	0
