timestamp	meters	rotations	angle	clock_period
389953	0	0	0	0
390052	0	0	0	0
390152	0	0	0	0
390252	0	0	0	0
390353	0	0	0	0
390488	0	0	0	0
390553	0	0	0	0
390652	0	0	0	0
390753	0	0	0	0
390852	0	0	0	0
391053	0	0	0	0
391253	0	0	0	0
391352	0	0	0	0
391453	0	0	0	0
391553	0	0	0	0
391652	0	0	0	0
391752	0	0	0	0
391853	0	0	0	0
391953	0	0	0	0
392053	0	0	0	0
392153	0	19	0	0
392253	0	0	0	0
392353	0	0	0	0
392453	0	0	0	0
392553	0	0	0	0
392653	0	0	0	0
392753	0	19	0	0
392853	0	0	0	0
392953	0	0	0	0
393053	0	0	0	0
393153	0	0	0	0
393253	0	0	0	0
393353	0	0	0	0
393453	0	0	0	0
393553	0	0	0	0
393653	0	0	0	0
393753	0	0	0	0
393853	0	0	0	0
393953	0	0	0	0
394053	0	0	0	0
394153	0	0	0	0
394253	0	0	0	0
394353	0	0	0	0
394453	0	0	0	0
394553	0	0	0	0
394653	0	0	0	0
394753	0	0	0	0
394853	0	0	0	0
394953	0	0	0	0
395054	0	0	0	0
395153	0	0	0	0
395253	0	0	0	0
395353	0	0	0	0
395453	0	0	0	0
395553	0	0	0	0
395653	0	0	0	0
395753	0	0	0	0
395853	0	0	0	0
395953	0	0	0	0
396053	0	0	0	0
396153	0	0	0	0
396253	0	0	0	0
396353	0	0	0	0
396453	0	0	0	0
396553	0	0	0	0
396653	0	0	0	0
396753	0	0	0	0
396853	0	0	0	0
396953	0	0	0	0
397053	0	0	0	0
397153	0	0	0	0
397253	0	0	0	0
397353	0	0	0	0
397453	0	0	0	0
397553	0	0	0	0
397653	0	0	0	0
397753	0	0	0	0
397853	0	0	0	0
397953	0	0	0	0
398053	0	0	0	0
398153	0	0	0	0
398253	0	0	0	0
398353	0	0	0	0
398453	0	0	0	0
398553	0	0	0	0
398653	0	0	0	0
398753	0	0	0	0
398853	0	0	0	0
398953	0	0	0	0
399053	0	0	0	0
399153	0	0	0	0
399253	0	0	0	0
399353	0	0	0	0
399453	0	0	0	0
399553	0	0	0	0
399653	0	0	0	0
399753	0	0	0	0
399853	0	0	0	0
399953	0	0	0	0
400053	0	0	0	0
400153	0	0	0	0
400253	0	0	0	0
400353	0	0	0	0
400453	0	0	0	0
400553	0	0	0	0
400653	0	0	0	0
400753	0	0	0	0
400853	0	0	0	0
400953	0	0	0	0
401053	0	0	0	0
401153	0	0	0	0
401253	0	0	0	0
401353	0	0	0	0
401453	0	0	0	0
401553	0	0	0	0
401654	0	0	0	0
401753	0	0	0	0
401853	0	0	0	0
401953	0	0	0	0
402053	0	0	0	0
402153	0	0	0	0
402253	0	0	0	0
402353	0	0	0	0
402453	0	0	0	0
402553	0	0	0	0
402653	0	0	0	0
402753	0	0	0	0
402853	0	0	0	0
402953	0	0	0	0
403053	0	0	0	0
403153	0	0	0	0
403253	0	0	0	0
403353	0	0	0	0
403453	0	0	0	0
403553	0	0	0	0
403653	0	0	0	0
403753	0	0	0	0
403853	0	0	0	0
403953	0	0	0	0
404053	0	0	0	0
404153	0	0	0	0
404253	0	0	0	0
404353	0	0	0	0
404453	0	0	0	0
404553	0	0	0	0
404653	0	0	0	0
404753	0	0	0	0
404853	0	0	0	0
404953	0	0	0	0
405053	0	0	0	0
405153	0	0	0	0
405253	0	0	0	0
405353	0	0	0	0
405453	0	0	0	0
405553	0	0	0	0
405653	0	0	0	0
405753	0	0	0	0
405853	0	0	0	0
405953	0	0	0	0
406053	0	0	0	0
406153	0	0	0	0
406253	0	0	0	0
406353	0	0	0	0
406453	0	0	0	0
406553	0	0	0	0
406653	0	0	0	0
406753	0	0	0	0
406853	0	0	0	0
406953	0	0	0	0
407053	0	0	0	0
407153	0	0	0	0
407253	0	0	0	0
407353	0	0	0	0
407453	0	0	0	0
407553	0	0	0	0
407653	0	0	0	0
407753	0	0	0	0
407853	0	0	0	0
407953	0	0	0	0
408053	0	0	0	0
408153	0	0	0	0
408254	0	0	0	0
408353	0	0	0	0
408453	0	0	0	0
408553	0	0	0	0
408653	0	0	0	0
408753	0	0	0	0
408853	0	0	0	0
408953	0	0	0	0
409053	0	0	0	0
409153	0	0	0	0
409253	0	19	0	0
409353	0	0	0	0
409453	0	0	0	0
409553	0	0	0	0
409653	0	0	0	0
409753	0	0	0	0
409853	0	0	0	0
409953	0	0	0	0
410053	0	0	0	0
410153	0	0	0	0
410253	0	0	0	0
410353	0	0	0	0
410453	0	0	0	0
410553	0	0	0	0
410653	0	0	0	0
410753	0	0	0	0
410853	0	0	0	0
410953	0	0	0	0
411053	0	0	0	0
411153	0	0	0	0
411253	0	0	0	0
411353	0	0	0	0
411453	0	0	0	0
411553	0	0	0	0
411653	0	0	0	0
411753	0	0	0	0
411853	0	0	0	0
411953	0	0	0	0
412053	0	0	0	0
412153	0	0	0	0
412253	0	0	0	0
412353	0	0	0	0
412453	0	0	0	0
412553	0	0	0	0
412653	0	0	0	0
412753	0	0	0	0
412853	0	0	0	0
412953	0	0	0	0
413053	0	0	0	0
413253	0	0	0	0
413553	0	0	0	0
413653	0	0	0	0
413753	0	0	0	0
413853	0	0	0	0
413953	0	0	0	0
414053	0	0	0	0
414153	0	0	0	0
414253	0	0	0	0
414353	0	19	0	0
414453	0	0	0	0
414553	0	0	0	0
414653	0	0	0	0
414753	0	0	0	0
414855	0	0	0	0
414953	0	0	0	0
415053	0	0	0	0
415153	0	0	0	0
415253	0	0	0	0
415353	0	0	0	0
415453	0	0	0	0
415553	0	0	0	0
415653	0	0	0	0
415753	0	0	0	0
415853	0	0	0	0
415953	0	0	0	0
416053	0	0	0	0
416153	0	0	0	0
416253	0	0	0	0
416353	0	0	0	0
416453	0	0	0	0
416553	0	0	0	0
416653	0	0	0	0
416753	0	0	0	0
416853	0	0	0	0
416953	0	0	0	0
417053	0	19	0	0
417153	0	0	0	0
417253	0	0	0	0
417353	0	0	0	0
417453	0	0	0	0
417553	0	0	0	0
417653	0	0	0	0
417753	0	0	0	0
417853	0	19	0	0
417953	0	0	0	0
418053	0	0	0	0
418153	0	0	0	0
418253	0	0	0	0
418353	0	0	0	0
418453	0	0	0	0
418553	0	0	0	0
418653	0	0	0	0
418753	0	0	0	0
418853	0	0	0	0
418953	0	0	0	0
419053	0	0	0	0
419153	0	0	0	0
419253	0	0	0	0
419353	0	0	0	0
419453	0	0	0	0
419553	0	19	0	0
419653	0	0	0	0
419753	0	0	0	0
419853	0	0	0	0
419954	0	0	0	0
420053	0	0	0	0
420153	0	0	0	0
420253	0	0	0	0
420353	0	0	0	0
420453	0	0	0	0
420553	0	0	0	0
420653	0	0	0	0
420753	0	0	0	0
420853	0	0	0	0
420953	0	0	0	0
421053	0	0	0	0
421153	0	0	0	0
421253	0	0	0	0
421353	0	0	0	0
421453	0	0	0	0
421553	0	0	0	0
421653	0	0	0	0
421753	0	0	0	0
421853	0	0	0	0
421953	0	0	0	0
422053	0	0	0	0
422153	0	0	0	0
422253	0	0	0	0
422353	0	0	0	0
422453	0	19	0	0
422553	0	0	0	0
422653	0	0	0	0
422753	0	0	0	0
422853	0	0	0	0
422953	0	0	0	0
423053	0	0	0	0
423153	0	0	0	0
423253	0	0	0	0
423353	0	0	0	0
423453	0	0	0	0
423553	0	0	0	0
423653	0	0	0	0
423753	0	0	0	0
423853	0	0	0	0
423953	0	0	0	0
424053	0	0	0	0
424153	0	0	0	0
424253	0	0	0	0
424353	0	0	0	0
424453	0	0	0	0
424553	0	0	0	0
424653	0	0	0	0
424753	0	0	0	0
424853	0	0	0	0
424953	0	0	0	0
425053	0	0	0	0
425153	0	0	0	0
425253	0	0	0	0
425353	0	0	0	0
425453	0	0	0	0
425553	0	0	0	0
425653	0	0	0	0
425753	0	0	0	0
425853	0	0	0	0
425953	0	0	0	0
426053	0	0	0	0
426153	0	0	0	0
426253	0	0	0	0
426353	0	0	0	0
426454	0	0	0	0
426554	0	0	0	0
426653	0	0	0	0
426753	0	0	0	0
426853	0	0	0	0
426953	0	19	0	0
427053	0	0	0	0
427153	0	0	0	0
427253	0	0	0	0
427353	0	0	0	0
427453	0	0	0	0
427553	0	0	0	0
427653	0	0	0	0
427753	0	0	0	0
427853	0	19	0	0
427953	0	0	0	0
428053	0	0	0	0
428153	0	0	0	0
428253	0	0	0	0
428353	0	0	0	0
428453	0	0	0	0
428553	0	0	0	0
428653	0	0	0	0
428753	0	0	0	0
428853	0	0	0	0
428953	0	0	0	0
429053	0	0	0	0
429153	0	0	0	0
429253	0	0	0	0
429353	0	0	0	0
429453	0	0	0	0
429553	0	0	0	0
429653	0	0	0	0
429753	0	0	0	0
429854	0	0	0	0
429953	0	0	0	0
430053	0	0	0	0
430153	0	0	0	0
430253	0	0	0	0
430353	0	0	0	0
430453	0	0	0	0
430554	0	0	0	0
430653	0	0	0	0
430753	0	0	0	0
430853	0	0	0	0
430954	0	0	0	0
431053	0	0	0	0
431153	0	0	0	0
431253	0	0	0	0
431354	0	0	0	0
431453	0	0	0	0
431553	0	0	0	0
431653	0	0	0	0
431754	0	0	0	0
431853	0	19	0	0
431953	0	19	0	0
432053	0	0	0	0
432153	0	0	0	0
432253	0	19	0	0
432353	0	0	0	0
432454	0	0	0	0
432553	0	0	0	0
432653	0	0	0	0
432753	0	0	0	0
432854	0	0	0	0
432953	0	0	0	0
433053	0	0	0	0
433153	0	0	0	0
433254	0	0	0	0
433353	0	0	0	0
433453	0	0	0	0
433553	0	0	0	0
433654	0	0	0	0
433753	0	0	0	0
433853	0	0	0	0
433954	0	0	0	0
434053	0	0	0	0
434153	0	0	0	0
434253	0	0	0	0
434354	0	0	0	0
434453	0	0	0	0
434553	0	0	0	0
434653	0	0	0	0
434754	0	0	0	0
434853	0	0	0	0
434953	0	0	0	0
435053	0	0	0	0
435153	0	0	0	0
435253	0	0	0	0
435353	0	0	0	0
435454	0	0	0	0
435553	0	0	0	0
435653	0	0	0	0
435753	0	0	0	0
435854	0	0	0	0
435953	0	0	0	0
436053	0	0	0	0
436254	0	0	0	0
436353	0	0	0	0
436453	0	0	0	0
436654	0	0	0	0
436753	0	0	0	0
436853	0	0	0	0
436954	0	19	0	0
437054	0	0	0	0
437153	0	0	0	0
437253	0	0	0	0
437354	0	0	0	0
437453	0	0	0	0
437553	0	0	0	0
437653	0	0	0	0
437754	0	0	0	0
437853	0	0	0	0
437953	0	0	0	0
438053	0	0	0	0
438154	0	0	0	0
438253	0	0	0	0
438353	0	19	0	0
438454	0	0	0	0
438553	0	0	0	0
438653	0	0	0	0
438753	0	0	0	0
438854	0	0	0	0
