timestamp	longitude_m	longitude_o	altitude
389943	0	104	0
390043	0	104	0
390142	0	104	0
390243	0	104	0
390343	0	104	0
390442	0	104	0
390543	0	104	0
390643	0	104	0
390743	0	104	0
390842	0	104	0
390943	0	104	0
391043	0	104	0
391142	0	104	0
391243	0	104	0
391343	0	104	0
391443	0	104	0
391543	0	104	0
391643	0	104	0
391743	0	104	0
391843	0	104	0
391943	0	104	0
392043	0	104	0
392143	0	104	0
392243	0	104	0
392343	0	104	0
392443	0	104	0
392543	0	104	0
392643	0	104	0
392743	0	104	0
392843	0	104	0
392943	0	104	0
393043	0	104	0
393143	0	104	0
393243	0	104	0
393343	0	104	0
393443	0	104	0
393543	0	104	0
393643	0	104	0
393743	0	104	0
393843	0	104	0
393943	0	104	0
394043	0	104	0
394143	0	104	0
394243	0	104	0
394343	0	104	0
394443	0	104	0
394543	0	104	0
394643	0	104	0
394743	0	104	0
394843	0	104	0
394943	0	104	0
395043	0	104	0
395143	0	104	0
395243	0	104	0
395343	0	104	0
395443	0	104	0
395543	0	104	0
395643	0	104	0
395743	0	104	0
395843	0	104	0
395943	0	104	0
396043	0	104	0
396143	0	104	0
396243	0	104	0
396343	0	104	0
396443	0	104	0
396543	0	104	0
396643	0	104	0
396743	0	104	0
396843	0	104	0
396943	0	104	0
397043	0	104	0
397143	0	104	0
397243	0	104	0
397443	0	104	0
397543	0	104	0
397643	0	104	0
397743	0	104	0
397843	0	104	0
397943	0	104	0
398043	0	104	0
398143	0	104	0
398243	0	104	0
398343	0	104	0
398443	0	104	0
398543	0	104	0
398643	0	104	0
398743	0	104	0
398843	0	104	0
398943	0	104	0
399043	0	104	0
399143	0	104	0
399243	0	104	0
399343	0	104	0
399443	0	104	0
399543	0	104	0
399643	0	104	0
399743	0	104	0
399843	0	104	0
399943	0	104	0
400043	0	104	0
400143	0	104	0
400243	0	104	0
400343	0	104	0
400443	0	104	0
400543	0	104	0
400643	0	104	0
400743	0	104	0
400843	0	104	0
400943	0	104	0
401043	0	104	0
401143	0	104	0
401243	0	104	0
401343	0	104	0
401443	0	104	0
401543	0	104	0
401643	0	104	0
401743	0	104	0
401843	0	104	0
401943	0	104	0
402043	0	104	0
402143	0	104	0
402243	0	104	0
402343	0	104	0
402443	0	104	0
402543	0	104	0
402643	0	104	0
402743	0	104	0
402843	0	104	0
402943	0	104	0
403043	0	104	0
403143	0	104	0
403243	0	104	0
403343	0	104	0
403443	0	104	0
403543	0	104	0
403643	0	104	0
403743	0	104	0
403843	0	104	0
403943	0	104	0
404043	0	104	0
404143	0	104	0
404243	0	104	0
404343	0	104	0
404443	0	104	0
404543	0	104	0
404643	0	104	0
404843	0	104	0
404943	0	104	0
405043	0	104	0
405143	0	104	0
405243	0	104	0
405343	0	104	0
405443	0	104	0
405543	0	104	0
405643	0	104	0
405743	0	104	0
405843	0	104	0
405943	0	104	0
406043	0	104	0
406143	0	104	0
406243	0	104	0
406343	0	104	0
406443	0	104	0
406543	0	104	0
406643	0	104	0
406743	0	104	0
406843	0	104	0
406943	0	104	0
407043	0	104	0
407143	0	104	0
407243	0	104	0
407343	0	104	0
407443	0	104	0
407543	0	104	0
407643	0	104	0
407743	0	104	0
407843	0	104	0
407943	0	104	0
408043	0	104	0
408143	0	104	0
408243	0	104	0
408343	0	104	0
408443	0	104	0
408543	0	104	0
408643	0	104	0
408743	0	104	0
408843	0	104	0
408943	0	104	0
409043	0	104	0
409143	0	104	0
409243	0	104	0
409343	0	104	0
409443	0	104	0
409543	0	104	0
409643	0	104	0
409743	0	104	0
409843	0	104	0
409943	0	104	0
410043	0	104	0
410143	0	104	0
410243	0	104	0
410343	0	104	0
410443	0	104	0
410543	0	104	0
410643	0	104	0
410743	0	104	0
410843	0	104	0
410943	0	104	0
411043	0	104	0
411143	0	104	0
411243	0	104	0
411343	0	104	0
411443	0	104	0
411543	0	104	0
411643	0	104	0
411743	0	104	0
411843	0	104	0
411943	0	104	0
412043	0	104	0
412143	0	104	0
412243	0	104	0
412343	0	104	0
412443	0	104	0
412543	0	104	0
412643	0	104	0
412743	0	104	0
412843	0	104	0
412943	0	104	0
413043	0	104	0
413143	0	104	0
413243	0	104	0
413343	0	104	0
413443	0	104	0
413543	0	104	0
413643	0	104	0
413743	0	104	0
413843	0	104	0
413943	0	104	0
414043	0	104	0
414143	0	104	0
414243	0	104	0
414343	0	104	0
414443	0	104	0
414543	0	104	0
414643	0	104	0
414743	0	104	0
414843	0	104	0
414943	0	104	0
415043	0	104	0
415143	0	104	0
415243	0	104	0
415343	0	104	0
415443	0	104	0
415543	0	104	0
415643	0	104	0
415743	0	104	0
415843	0	104	0
415943	0	104	0
416043	0	104	0
416144	0	104	0
416243	0	104	0
416343	0	104	0
416443	0	104	0
416543	0	104	0
416643	0	104	0
416743	0	104	0
416843	0	104	0
416943	0	104	0
417043	0	104	0
417143	0	104	0
417243	0	104	0
417343	0	104	0
417443	0	104	0
417543	0	104	0
417643	0	104	0
417743	0	104	0
417843	0	104	0
417943	0	104	0
418043	0	104	0
418143	0	104	0
418243	0	104	0
418343	0	104	0
418443	0	104	0
418543	0	104	0
418643	0	104	0
418743	0	104	0
418843	0	104	0
418946	0	104	0
419043	0	104	0
419143	0	104	0
419343	0	104	0
419743	0	104	0
419843	0	104	0
419943	0	104	0
420043	0	104	0
420143	0	104	0
420243	0	104	0
420343	0	104	0
420443	0	104	0
420543	0	104	0
420643	0	104	0
420743	0	104	0
420843	0	104	0
420943	0	104	0
421043	0	104	0
421143	0	104	0
421243	0	104	0
421343	0	104	0
421443	0	104	0
421543	0	104	0
421643	0	104	0
421743	0	104	0
421843	0	104	0
421943	0	104	0
422043	0	104	0
422143	0	104	0
422243	0	104	0
422343	0	104	0
422443	0	104	0
422543	0	104	0
422643	0	104	0
422743	0	104	0
422843	0	104	0
422943	0	104	0
423043	0	104	0
423143	0	104	0
423243	0	104	0
423343	0	104	0
423443	0	104	0
423543	0	104	0
423643	0	104	0
423743	0	104	0
423843	0	104	0
423943	0	104	0
424043	0	104	0
424143	0	104	0
424243	0	104	0
424343	0	104	0
424443	0	104	0
424543	0	104	0
424643	0	104	0
424743	0	104	0
424843	0	104	0
424943	0	104	0
425043	0	104	0
425143	0	104	0
425243	0	104	0
425343	0	104	0
425443	0	104	0
425543	0	104	0
425643	0	104	0
425743	0	104	0
425843	0	104	0
425943	0	104	0
426044	0	104	0
426143	0	104	0
426243	0	104	0
426343	0	104	0
426444	0	104	0
426543	0	104	0
426643	0	104	0
426744	0	104	0
426843	0	104	0
426943	0	104	0
427043	0	104	0
427144	0	104	0
427243	0	104	0
427343	0	104	0
427443	0	104	0
427543	0	104	0
427643	0	104	0
427743	0	104	0
427843	0	104	0
427943	0	104	0
428043	0	104	0
428143	0	104	0
428243	0	104	0
428343	0	104	0
428443	0	104	0
428543	0	104	0
428643	0	104	0
428743	0	104	0
428843	0	104	0
428943	0	104	0
429044	0	104	0
429143	0	104	0
429243	0	104	0
429343	0	104	0
429443	0	104	0
429543	0	104	0
429643	0	104	0
429743	0	104	0
429843	0	104	0
