timestamp	speed	speedms
121326	0	0
121426	0	0
121626	0	0
121779	0	0
121926	0	0
122026	0	0
122226	0	0
122326	0	0
122526	0	0
122626	0	0
122826	0	0
122926	0	0
123126	0	0
123226	0	0
123426	0	0
123526	0	0
123626	0	0
123726	0	0
123826	0	0
124026	0	0
124126	0	0
124226	0	0
124326	0	0
124426	0	0
124626	0	0
124726	0	0
124826	0	0
124926	0	0
125026	0	0
125226	0	0
125326	0	0
125426	0	0
125526	0	0
125626	0	0
125826	0	0
125926	0	0
126026	0	0
126126	0	0
126226	0	0
126426	0	0
126526	0	0
126626	0	0
126726	0	0
126826	0	0
127026	0	0
127126	0	0
127226	0	0
127326	0	0
127426	0	0
127526	0	0
127626	0	0
127726	0	0
127826	0	0
127926	0	0
128026	0	0
128126	0	0
128226	0	0
128326	0	0
128426	0	0
128526	0	0
128626	0	0
128726	0	0
128826	0	0
128926	0	0
129026	0	0
129126	0	0
129226	0	0
129326	0	0
129426	0	0
129526	0	0
129626	0	0
129726	0	0
129826	0	0
129926	0	0
130026	0	0
130126	0	0
130226	0	0
130326	0	0
130426	0	0
130526	0	0
130626	0	0
130726	0	0
130826	0	0
130926	0	0
131026	0	0
131126	0	0
131226	0	0
131326	0	0
131426	0	0
131526	0	0
131626	0	0
131826	0	0
131926	0	0
132026	0	0
132126	0	0
132226	0	0
132426	0	0
132526	0	0
132626	0	0
132726	0	0
132826	0	0
132926	0	0
133026	0	0
133126	0	0
133226	0	0
133326	0	0
133426	0	0
133526	0	0
133626	0	0
133726	0	0
133826	0	0
133926	0	0
134026	0	0
134126	0	0
134226	0	0
134326	0	0
134426	0	0
134526	0	0
134626	0	0
134726	0	0
134826	0	0
134926	0	0
135026	0	0
135126	0	0
135226	0	0
135326	0	0
135426	0	0
135526	0	0
135626	0	0
135726	0	0
135826	0	0
135926	0	0
136026	0	0
136126	0	0
136226	0	0
136326	0	0
136426	0	0
136526	0	0
136626	0	0
136726	0	0
136826	0	0
136926	0	0
137026	0	0
137126	0	0
137226	0	0
137326	0	0
137426	0	0
137526	0	0
137626	0	0
137726	0	0
137826	0	0
137926	0	0
138026	0	0
138126	0	0
138226	0	0
138326	0	0
138426	0	0
138526	0	0
138626	0	0
138726	0	0
138826	0	0
138926	0	0
139026	0	0
139126	0	0
139226	0	0
139326	0	0
139426	0	0
139526	0	0
139626	0	0
139726	0	0
139826	0	0
139926	0	0
140026	0	0
140226	0	0
140326	0	0
140426	0	0
140526	0	0
140627	0	0
140826	0	0
140926	0	0
141026	0	0
141126	0	0
141226	0	0
141426	0	0
141526	0	0
141626	0	0
141726	0	0
141826	0	0
142026	0	0
142127	0	0
142226	0	0
142326	0	0
142426	0	0
142626	0	0
142726	0	0
142826	0	0
142926	0	0
143026	0	0
