timestamp	data1	data2
121242	1250839042	0
121342	1251363330	0
121442	1251232258	0
121542	1251035650	0
121642	1251297794	0
121779	1251166722	0
121841	1251297794	0
121941	1251166722	0
122041	1251166722	0
122141	1251166722	0
122241	1251232258	0
122341	1250904578	0
122441	1250970114	0
122540	1251297794	0
122640	1251297794	0
122740	1251232258	0
122840	1251166722	0
122940	1251101186	0
123040	1250904578	0
123139	1251035650	0
123239	1250904578	0
123339	1251101186	0
123439	1251101186	0
123539	1250904578	0
123639	1250970114	0
123739	1251297794	0
123838	1251035650	0
123938	1250970114	0
124038	1250904578	0
124138	1251035650	0
124238	1250707970	0
124338	1250904578	0
124437	1250970114	0
124537	1250773506	0
124637	1251494402	0
124737	1251101186	0
124837	1250970114	0
124937	1251166722	0
125036	1251101186	0
125136	1251101186	0
125236	1250970114	0
125338	1251101186	0
125436	1250970114	0
125536	1250970114	0
125635	1250970114	0
125735	1251166722	0
125835	1250970114	0
125935	1251101186	0
126035	1251035650	0
126135	1251363330	0
126234	1251297794	0
126334	1251363330	0
126434	1251035650	0
126534	1251035650	0
126634	1251166722	0
126734	1250970114	0
126834	1251101186	0
126933	1251035650	0
127033	1251232258	0
127133	1250839042	0
127233	1251232258	0
127333	1250839042	0
127433	1250970114	0
127532	1251363330	0
127632	1250904578	0
127732	1251232258	0
127832	1250970114	0
127932	1251035650	0
128032	1250839042	0
128132	1251232258	0
128231	1251166722	0
128331	1250839042	0
128431	1251101186	0
128531	1250970114	0
128631	1251166722	0
128731	1250970114	0
128830	1251035650	0
128930	1251232258	0
129030	1251166722	0
129130	1250642434	0
129230	1250970114	0
129330	1251297794	0
129429	1251101186	0
129529	1251232258	0
129629	1251166722	0
129729	1251101186	0
129829	1251101186	0
129929	1250904578	0
130028	1251232258	0
130128	1250970114	0
130228	1250773506	0
130328	1251232258	0
130428	1251166722	0
130528	1250839042	0
130628	1251035650	0
130727	1251494402	0
130827	1251297794	0
130929	1251101186	0
131027	1251166722	0
131127	1250970114	0
131227	1250970114	0
131326	1250642434	0
131426	1251232258	0
131526	1251166722	0
131626	1251101186	0
131726	1251232258	0
131826	1251232258	0
131925	1251035650	0
132025	1251166722	0
132125	1250970114	0
132225	1251363330	0
132325	1251101186	0
132425	1251101186	0
132525	1251232258	0
132624	1251101186	0
132724	1251166722	0
132824	1251428866	0
132924	1251232258	0
133024	1251297794	0
133124	1251035650	0
133223	1251101186	0
133323	1251101186	0
133423	1251232258	0
133523	1250839042	0
133623	1251363330	0
133723	1250773506	0
133822	1251232258	0
133922	1251166722	0
134022	1251232258	0
134122	1251232258	0
134222	1251035650	0
134322	1250904578	0
134422	1250970114	0
134521	1251297794	0
134621	1251232258	0
134721	1251494402	0
134821	1251428866	0
134921	1250970114	0
135021	1251101186	0
135120	1251232258	0
135220	1251232258	0
135320	1251232258	0
135420	1251035650	0
135520	1251297794	0
135620	1251166722	0
135719	1251297794	0
135819	1251166722	0
135919	1251166722	0
136019	1251232258	0
136119	1251101186	0
136219	1251101186	0
136319	1251297794	0
136418	1251101186	0
136521	1251166722	0
136618	1251232258	0
136718	1251232258	0
136818	1251035650	0
136918	1250970114	0
137017	1250904578	0
137117	1251035650	0
137217	1251232258	0
137317	1251166722	0
137417	1251232258	0
137517	1251035650	0
137616	1251101186	0
137716	1251035650	0
137816	1251428866	0
137916	1251101186	0
138016	1251101186	0
138116	1251232258	0
138216	1251232258	0
138315	1251101186	0
138415	1250904578	0
138515	1251101186	0
138615	1251232258	0
138715	1251166722	0
138815	1251166722	0
138914	1251166722	0
139014	1251101186	0
139114	1251232258	0
139214	1251232258	0
139314	1251363330	0
139414	1251428866	0
139513	1251166722	0
139613	1250970114	0
139713	1251297794	0
139813	1251232258	0
139913	1251035650	0
140013	1251166722	0
140113	1251166722	0
140212	1251166722	0
140312	1251232258	0
140412	1251363330	0
140512	1251166722	0
140612	1251363330	0
140712	1251035650	0
140811	1251232258	0
140911	1251297794	0
141011	1251297794	0
141111	1251363330	0
141211	1250773506	0
141311	1251166722	0
141411	1250839042	0
141510	1251494402	0
141610	1251166722	0
141710	1251166722	0
141810	1250970114	0
141910	1251494402	0
142010	1251363330	0
142109	1251232258	0
142209	1251232258	0
142309	1251101186	0
142409	1251101186	0
142509	1251428866	0
142609	1250970114	0
142708	1251297794	0
142808	1251035650	0
142908	1251101186	0
143008	1251297794	0
143108	1251232258	0
