timestamp	longitude_m	longitude_o	altitude
307441	0	104	0
307541	0	104	0
307641	0	104	0
307741	0	104	0
307841	0	104	0
307941	0	104	0
308041	0	104	0
308141	0	104	0
308241	0	104	0
308341	0	104	0
308441	0	104	0
308541	0	104	0
308641	0	104	0
308741	0	104	0
308841	0	104	0
308941	0	104	0
309041	0	104	0
309141	0	104	0
309241	0	104	0
309341	0	104	0
309441	0	104	0
309541	0	104	0
309641	0	104	0
309741	0	104	0
309841	0	104	0
309941	0	104	0
310041	0	104	0
310141	0	104	0
310241	0	104	0
310341	0	104	0
310441	0	104	0
310541	0	104	0
310641	0	104	0
310741	0	104	0
310841	0	104	0
310941	0	104	0
311041	0	104	0
311141	0	104	0
311241	0	104	0
311341	0	104	0
311441	0	104	0
311541	0	104	0
311641	0	104	0
311741	0	104	0
311841	0	104	0
311941	0	104	0
312041	0	104	0
312241	0	104	0
312441	0	104	0
312541	0	104	0
312641	0	104	0
312741	0	104	0
312841	0	104	0
313041	0	104	0
313241	0	104	0
313341	0	104	0
313441	0	104	0
313541	0	104	0
313641	0	104	0
313741	0	104	0
313841	0	104	0
313941	0	104	0
314041	0	104	0
314141	0	104	0
314241	0	104	0
314341	0	104	0
314441	0	104	0
314541	0	104	0
314641	0	104	0
314741	0	104	0
314841	0	104	0
314941	0	104	0
315041	0	104	0
315141	0	104	0
315241	0	104	0
315341	0	104	0
315441	0	104	0
315541	0	104	0
315641	0	104	0
315741	0	104	0
315841	0	104	0
315941	0	104	0
316041	0	104	0
316141	0	104	0
316241	0	104	0
316341	0	104	0
316441	0	104	0
316541	0	104	0
316641	0	104	0
316741	0	104	0
316841	0	104	0
316941	0	104	0
317041	0	104	0
317141	0	104	0
317241	0	104	0
317341	0	104	0
317441	0	104	0
317541	0	104	0
317641	0	104	0
317741	0	104	0
317841	0	104	0
317941	0	104	0
318041	0	104	0
318141	0	104	0
318241	0	104	0
318341	0	104	0
318441	0	104	0
318541	0	104	0
318641	0	104	0
318741	0	104	0
318841	0	104	0
318941	0	104	0
319041	0	104	0
319141	0	104	0
319241	0	104	0
319341	0	104	0
319441	0	104	0
319541	0	104	0
319641	0	104	0
319741	0	104	0
319841	0	104	0
319941	0	104	0
320041	0	104	0
320141	0	104	0
320241	0	104	0
320341	0	104	0
320441	0	104	0
320541	0	104	0
320642	0	104	0
320741	0	104	0
320841	0	104	0
320941	0	104	0
321042	0	104	0
321141	0	104	0
321241	0	104	0
321341	0	104	0
321441	0	104	0
321541	0	104	0
321641	0	104	0
321741	0	104	0
321841	0	104	0
321941	0	104	0
322041	0	104	0
322141	0	104	0
322241	0	104	0
322341	0	104	0
322441	0	104	0
322541	0	104	0
322641	0	104	0
322741	0	104	0
322841	0	104	0
322942	0	104	0
323041	0	104	0
323141	0	104	0
323241	0	104	0
323341	0	104	0
323441	0	104	0
323541	0	104	0
323741	0	104	0
323841	0	104	0
323941	0	104	0
324041	0	104	0
324141	0	104	0
324241	0	104	0
324341	0	104	0
324442	0	104	0
324541	0	104	0
324641	0	104	0
324741	0	104	0
324842	0	104	0
324941	0	104	0
325041	0	104	0
325141	0	104	0
325241	0	104	0
325341	0	104	0
325441	0	104	0
325541	0	104	0
325641	0	104	0
325741	0	104	0
325942	0	104	0
326041	0	104	0
326141	0	104	0
326241	0	104	0
326342	0	104	0
326441	0	104	0
326541	0	104	0
326641	0	104	0
326742	0	104	0
326841	0	104	0
326941	0	104	0
327041	0	104	0
327141	0	104	0
327241	0	104	0
327341	0	104	0
327441	0	104	0
327541	0	104	0
327641	0	104	0
327741	0	104	0
327842	0	104	0
327941	0	104	0
328041	0	104	0
328141	0	104	0
328242	0	104	0
328341	0	104	0
328441	0	104	0
328541	0	104	0
328641	0	104	0
328741	0	104	0
328841	0	104	0
328942	0	104	0
329041	0	104	0
329141	0	104	0
329241	0	104	0
329342	0	104	0
329441	0	104	0
329541	0	104	0
329641	0	104	0
329742	0	104	0
329841	0	104	0
329941	0	104	0
330042	0	104	0
330142	0	104	0
330241	0	104	0
330341	0	104	0
330442	0	104	0
330541	0	104	0
330641	0	104	0
330741	0	104	0
330842	0	104	0
330941	0	104	0
331041	0	104	0
331141	0	104	0
331242	0	104	0
331341	0	104	0
331441	0	104	0
331541	0	104	0
331642	0	104	0
331741	0	104	0
331841	0	104	0
331942	0	104	0
332042	0	104	0
332141	0	104	0
332241	0	104	0
332342	0	104	0
332441	0	104	0
332541	0	104	0
332641	0	104	0
332742	0	104	0
332841	0	104	0
332941	0	104	0
333041	0	104	0
333142	0	104	0
333241	0	104	0
333341	0	104	0
333441	0	104	0
333542	0	104	0
333641	0	104	0
333741	0	104	0
333842	0	104	0
333941	0	104	0
334041	0	104	0
334141	0	104	0
334242	0	104	0
334341	0	104	0
334441	0	104	0
334541	0	104	0
334642	0	104	0
334741	0	104	0
334841	0	104	0
334944	0	104	0
335042	0	104	0
335142	0	104	0
335342	0	104	0
335441	0	104	0
335541	0	104	0
335642	0	104	0
335742	0	104	0
335842	0	104	0
335941	0	104	0
336041	0	104	0
336142	0	104	0
336241	0	104	0
336341	0	104	0
336441	0	104	0
336542	0	104	0
336641	0	104	0
336741	0	104	0
336842	0	104	0
336942	0	104	0
337041	0	104	0
337141	0	104	0
337242	0	104	0
337341	0	104	0
337441	0	104	0
337541	0	104	0
337642	0	104	0
337741	0	104	0
337842	0	104	0
337941	0	104	0
338042	0	104	0
338141	0	104	0
338241	0	104	0
338342	0	104	0
338442	0	104	0
338542	0	104	0
338641	0	104	0
338742	0	104	0
338842	0	104	0
338941	0	104	0
339042	0	104	0
339142	0	104	0
339242	0	104	0
339342	0	104	0
339442	0	104	0
339542	0	104	0
339641	0	104	0
339741	0	104	0
339842	0	104	0
339942	0	104	0
340042	0	104	0
340142	0	104	0
340242	0	104	0
340342	0	104	0
340442	0	104	0
340542	0	104	0
340642	0	104	0
340742	0	104	0
340842	0	104	0
340942	0	104	0
341042	0	104	0
341142	0	104	0
341242	0	104	0
341342	0	104	0
341442	0	104	0
341542	0	104	0
341642	0	104	0
341742	0	104	0
