timestamp	voltage	temperature
307516	14.2	23.8
307668	14.2	23.8
307820	14.2	23.2
307986	14.2	23.8
308124	14.2	23.8
308276	14.2	23.8
308428	14.2	23.8
308580	14.2	23.6
308732	14.2	23.8
308884	14.2	23.8
309034	14.2	23.8
309186	14.2	23.8
309338	14.2	23.8
309490	14.2	23.8
309642	14.2	23.8
309794	14.2	23.8
309946	14.2	23.8
310098	14.2	23.8
310250	14.2	23.8
310402	14.2	23.8
310554	14.2	23.8
310708	14.2	23.8
310860	14.2	23.8
311013	14.2	23.8
311164	14.2	23.8
311316	14.2	23.8
311468	14.2	23.8
311620	14.2	23.8
311772	14.2	23.8
311924	14.2	23.8
312076	14.2	23.8
312230	14.2	23.8
312382	14.2	23.8
312534	14.2	23.8
312686	14.2	23.8
312838	14.2	23.8
312990	14.2	23.8
313142	14.2	23.8
313294	14.2	23.8
313446	14.2	23.8
313598	14.2	23.8
313750	14.2	23.8
313900	14.2	23.8
314052	14.2	23.8
314204	14.2	23.8
314356	14.2	23.8
314508	14.2	23.8
314660	14.2	24
314812	14.2	23.8
314964	14.2	23.8
315116	14.2	23.8
315268	14.2	23.8
315426	14.2	23.8
315578	14.2	23.8
315730	14.2	23.8
315882	14.2	23.6
316034	14.2	23.8
316186	14.2	23.8
316338	14.2	23.8
316490	14.2	23.8
316644	14.2	23.8
316794	14.2	23.8
316946	14.2	24
317100	14.2	23.8
317252	14.2	23.8
317404	14.3	23.8
317556	14.2	23.8
317708	14.2	23.8
317860	14.2	23.6
318012	14.2	23.8
318164	14.2	23.8
318316	14.2	23.8
318468	14.2	23.8
318620	14.2	23.8
318770	14.3	23.8
318922	14.2	23.8
319074	14.2	23.8
319226	14.2	23.8
319378	14.2	23.8
319530	14.2	23.8
319682	14.2	23.8
319834	14.2	23.8
319986	14.2	23.8
320138	14.2	23.8
320292	14.2	23.8
320444	14.2	23.8
320596	14.2	23.8
320748	14.2	23.8
320900	14.2	23.8
321052	14.2	23.8
321204	14.2	23.6
321356	14.2	23.8
321508	14.2	23.8
321660	14.2	23.8
321812	14.2	23.8
321966	14.2	23.8
322118	14.2	23.8
322270	14.2	23.8
322422	14.2	23.8
322574	14.2	23.8
322726	14.2	23.8
322878	14.2	23.8
323030	14.2	23.8
323182	14.2	23.8
323334	14.2	23.8
323488	14.2	23.8
323640	14.2	23.8
323792	14.2	23.8
323944	14.2	23.8
324096	14.2	23.8
324248	14.2	23.8
324400	14.2	23.8
324552	14.2	23.8
324704	14.2	23.8
324856	14.2	23.8
325008	14.2	23.8
325162	14.2	23.8
325314	14.2	23.8
325466	14.2	23.8
325618	14.2	23.8
325770	14.2	23.8
325922	14.2	23.8
326074	14.2	23.8
326226	14.2	23.8
326378	14.2	23.8
326530	14.2	23.8
326680	14.2	23.8
326832	14.2	23.8
326984	14.2	23.8
327136	14.2	23.8
327288	14.2	24
327440	14.2	23.8
327592	14.2	23.8
327744	14.2	23.8
327896	14.2	23.8
328048	14.2	23.8
328200	14.2	23.8
328354	14.2	23.8
328506	14.2	23.8
328658	14.2	23.2
328810	14.2	23.8
328962	14.2	23.8
329114	14.2	23.8
329266	14.2	23.8
329418	14.2	23.8
329570	14.2	23.8
329722	14.2	23.8
329880	14.2	23.6
330032	14.2	23.8
330184	14.2	23.8
330336	14.2	23.8
330488	14.2	23.8
330640	14.2	23.8
330792	14.2	23.8
330944	14.2	23.8
331096	14.2	23.8
331248	14.2	23.8
331400	14.2	23.8
331550	14.2	23.8
331702	14.2	23.8
331854	14.2	23.8
332006	14.2	23.8
332158	14.2	23.8
332310	14.2	24
332462	14.2	23.8
332614	14.2	23.8
332766	14.2	23.8
332918	14.2	23.8
333070	14.2	23.8
333224	14.2	23.8
333376	14.2	23.8
333528	14.2	23.8
333680	14.2	23.8
333832	14.2	23.8
333984	14.2	23.8
334136	14.2	23.8
334288	14.2	23.8
334440	14.2	23.8
334592	14.2	23.8
334746	14.2	23.6
334898	14.2	23.8
335050	14.2	23.8
335202	14.2	23.8
335354	14.2	23.8
335506	14.2	23.8
335658	14.2	23.8
335810	14.2	23.6
335962	14.2	23.8
336114	14.2	23.8
336266	14.2	23.8
336416	14.2	23.8
336568	14.2	23.8
336720	14.2	23.8
336872	14.2	23.8
337024	14.2	23.8
337176	14.2	23.8
337328	14.2	23.8
337480	14.2	24
337632	14.2	23.8
337784	14.2	23.8
337938	14.2	23.8
338090	14.2	23.8
338242	14.2	23.8
338394	14.2	23.8
338546	14.2	23.8
338698	14.2	23.8
338850	14.2	23.8
339002	14.2	23.8
339154	14.2	23.8
339306	14.2	23.8
339458	14.2	24.2
339612	14.2	23.8
339764	14.3	23.8
339916	14.2	23.8
340068	14.2	23.8
340220	14.2	23.8
340372	14.2	23.8
340524	14.2	23.8
340676	14.2	23.8
340828	14.2	23.8
340980	14.2	23.8
341134	14.2	23.8
341286	14.2	23.8
341438	14.2	23.8
341590	14.2	23.8
341742	14.2	23.8
341894	14.2	23.8
342046	14.2	23.8
342198	14.2	23.8
342350	14.2	23.8
342502	14.2	23.8
342654	14.2	23.8
342808	14.2	23.8
342960	14.2	23.8
343112	14.2	23.8
343264	14.2	23.8
343416	14.2	23.8
343568	14.2	23.8
343720	14.2	23.8
343872	14.2	23.8
344025	14.2	23.8
344176	14.2	23.8
344334	14.2	23.8
344486	14.2	23.8
344638	14.2	23.8
344790	14.2	23.8
344942	14.2	23.8
345094	14.2	23.8
345246	14.2	23.8
345398	14.2	23.8
345550	14.2	24
345702	14.2	23.8
345854	14.2	23.8
346009	14.2	23.8
346160	14.2	23.8
346312	14.2	23.8
346464	14.2	24
346616	14.2	23.8
346769	14.2	23.8
346920	14.2	23.8
347072	14.2	23.8
347224	14.2	23.8
347376	14.2	23.8
347529	14.2	23.8
347682	14.2	23.8
347835	14.2	23.8
347987	14.2	23.8
348139	14.2	23.8
348291	14.2	23.8
348442	14.2	23.8
348595	14.2	23.8
348746	14.2	23.8
348899	14.2	23.8
349050	14.2	23.8
349205	14.2	23.8
349357	14.2	23.8
349509	14.2	23.8
349661	14.2	23.8
349813	14.2	23.8
349965	14.2	23.8
350117	14.2	23.6
350269	14.2	23.8
350421	14.2	23.8
350573	14.2	23.8
350725	14.2	23.8
350879	14.2	23.8
351031	14.2	23.8
351183	14.2	23.8
351335	14.2	23.8
351487	14.2	23.8
351639	14.2	23.8
351791	14.2	23.8
351943	14.2	23.8
352095	14.2	23.8
352250	14.2	23.8
352401	14.2	23.8
352553	14.2	23.8
352705	14.2	24
352857	14.2	23.8
353009	14.2	23.8
353161	14.2	23.8
353313	14.2	23.8
353465	14.2	23.8
353617	14.2	23.8
353769	14.2	23.8
353921	14.2	23.8
354075	14.3	23.8
354227	14.2	23.8
354379	14.2	23.8
354531	14.2	23.8
354683	14.3	23.8
354835	14.2	23.8
354987	14.2	23.8
355139	14.2	23.8
355291	14.2	23.8
355443	14.2	23.8
355597	14.2	23.8
355749	14.2	23.8
355901	14.2	23.8
356053	14.2	23.8
356205	14.2	23.8
356357	14.2	23.8
356509	14.2	23.8
356661	14.2	23.8
356813	14.2	23.6
356965	14.2	23.8
357117	14.2	23.6
357271	14.2	23.8
357423	14.2	23.8
357575	14.2	23.8
357727	14.2	23.8
357879	14.2	23.8
358031	14.2	23.8
358183	14.2	23.8
358335	14.2	23.8
358487	14.2	23.8
358639	14.2	23.8
358793	14.2	23.8
358945	14.2	23.8
359249	14.2	23.8
359401	14.2	23.6
359553	14.2	23.8
359705	14.2	23.8
359857	14.2	23.8
360009	14.2	23.8
360161	14.2	23.8
360313	14.2	23.8
360467	14.2	23.8
360619	14.2	23.8
360771	14.2	23.8
360923	14.2	23.8
361075	14.2	23.8
361227	14.2	23.8
361379	14.2	23.8
361531	14.2	23.8
361683	14.2	23.8
361835	14.2	23.8
361987	14.2	23.8
362141	14.2	23.8
362293	14.2	23.6
362448	14.2	23.8
362597	14.2	23.8
362749	14.2	23.8
362901	14.2	23.8
363053	14.2	23.8
363205	14.2	23.8
363357	14.2	23.8
363509	14.2	23.8
363663	14.2	23.8
363815	14.2	23.8
363967	14.2	23.8
364119	14.2	23.8
364271	14.2	23.8
364423	14.2	23.8
364575	14.2	23.8
364727	14.2	23.8
364879	14.2	23.8
365031	14.2	23.8
365183	14.2	23.8
365337	14.2	23.8
365489	14.2	23.8
365641	14.2	23.8
365793	14.2	23.8
365945	14.2	23.8
366097	14.2	23.8
366249	14.2	23.6
366401	14.2	23.8
366553	14.2	23.8
366705	14.2	23.8
366859	14.2	23.8
367011	14.2	23.8
367163	14.2	23.8
367315	14.2	23.8
367467	14.2	23.8
367619	14.2	23.8
367771	14.2	23.8
367923	14.2	23.8
368075	14.2	23.8
368227	14.2	23.8
368379	14.2	23.8
368533	14.2	23.8
368685	14.2	23.8
368837	14.2	23.8
368989	14.2	23.8
369141	14.2	24
369293	14.2	23.8
369445	14.2	23.8
369597	14.2	23.8
369749	14.2	23.8
369901	14.2	23.8
370055	14.2	23.8
370207	14.2	23.8
370359	14.2	23.8
370511	14.2	23.8
370663	14.2	23.8
370815	14.2	23.8
370967	14.2	23.8
371119	14.2	23.8
371271	14.2	23.8
371423	14.2	23.8
371575	14.2	23.8
371729	14.2	24
371881	14.2	23.8
372033	14.2	23.8
372185	14.2	23.8
372337	14.2	23.8
372489	14.2	23.8
372641	14.2	23.8
372793	14.2	23.6
372945	14.2	23.8
373097	14.2	23.8
373251	14.2	24
373403	14.2	23.8
373555	14.2	23.8
373707	14.2	23.8
373859	14.2	23.8
374011	14.2	23.8
374163	14.2	23.8
374315	14.2	23.8
374467	14.2	23.8
374619	14.2	23.8
374771	14.2	23.8
374925	14.2	23.8
375077	14.2	23.8
375229	14.2	23.8
375381	14.2	23.8
375533	14.2	23.8
375685	14.2	23.8
375837	14.2	23.8
376002	14.2	23.8
376141	14.2	23.8
376293	14.2	23.8
376445	14.2	23.8
376599	14.2	23.8
376751	14.2	23.8
376903	14.2	23.8
377055	14.2	23.8
377207	14.2	23.8
377359	14.2	23.8
377511	14.2	24
377663	14.2	23.8
377815	14.2	23.8
377967	14.2	23.8
378121	14.2	23.8
378273	14.2	23.8
378425	14.2	23.8
378577	14.2	23.8
378729	14.2	23.8
378881	14.2	23.8
379033	14.2	23.8
379185	14.2	23.8
379337	14.2	23.8
379489	14.2	23.8
379641	14.2	23.8
379791	14.2	23.8
379943	14.2	23.8
380095	14.2	23.8
380247	14.2	23.8
380399	14.2	23.8
380551	14.2	23.8
380703	14.2	23.8
380855	14.2	23.8
381007	14.2	23.8
381159	14.2	23.8
381313	14.2	23.8
381465	14.2	23.8
381617	14.2	23.6
381769	14.2	23.8
381921	14.2	23.8
382073	14.2	23.8
382225	14.2	23.8
382377	14.2	23.8
382529	14.2	23.8
382681	14.2	23.8
382833	14.2	23.8
382987	14.2	23.8
383139	14.2	23.8
383291	14.2	24
383443	14.2	23.8
383595	14.2	24
383747	14.2	23.8
383899	14.2	23.6
384051	14.2	23.8
384203	14.2	23.8
384355	14.2	23.8
384509	14.2	23.8
384661	14.2	23.8
384813	14.2	23.8
384965	14.2	23.8
385117	14.2	23.8
385269	14.2	23.8
385421	14.2	23.8
385573	14.2	23.8
385725	14.2	23.8
385877	14.2	23.8
386029	14.2	23.8
386183	14.2	23.8
386335	14.2	23.8
386487	14.2	23.8
386639	14.2	23.8
386791	14.2	23.8
386943	14.2	23.8
387095	14.2	23.8
387247	14.2	23.8
387399	14.2	23.8
387551	14.2	24
387705	14.2	23.8
387857	14.2	23.8
388009	14.2	23.8
388161	14.2	23.8
388313	14.2	23.8
388465	14.2	23.8
388617	14.2	23.8
388769	14.2	23.8
388921	14.2	23.8
389073	14.2	23.8
389225	14.2	23.8
389379	14.2	23.8
389531	14.2	23.8
389683	14.2	23.8
389835	14.2	23.6
