timestamp	speed	speedms
307453	0	0
307553	0	0
307653	0	0
307753	0	0
307853	0	0
307986	0	0
308053	0	0
308153	0	0
308253	0	0
308353	0	0
308453	0	0
308553	0	0
308653	0	0
308753	0	0
308853	0	0
308953	0	0
309053	0	0
309153	0	0
309253	0	0
309353	0	0
309453	0	0
309553	0	0
309653	0	0
309753	0	0
309853	0	0
309953	0	0
310053	0	0
310153	0	0
310253	0	0
310353	0	0
310453	0	0
310553	0	0
310653	0	0
310753	0	0
310853	0	0
310953	0	0
311053	0	0
311153	0	0
311253	0	0
311353	0	0
311453	0	0
311553	0	0
311653	0	0
311753	0	0
311853	0	0
311953	0	0
312053	0	0
312153	0	0
312253	0	0
312353	0	0
312453	0	0
312553	0	0
312653	0	0
312753	0	0
312853	0	0
312953	0	0
313053	0	0
313153	0	0
313253	0	0
313353	0	0
313453	0	0
313553	0	0
313653	0	0
313753	0	0
313853	0	0
313953	0	0
314053	0	0
314153	0	0
314253	0	0
314353	0	0
314453	0	0
314553	0	0
314653	0	0
314753	0	0
314853	0	0
314953	0	0
315053	0	0
315153	0	0
315253	0	0
315353	0	0
315453	0	0
315553	0	0
315653	0	0
315753	0	0
315853	0	0
315953	0	0
316053	0	0
316153	0	0
316253	0	0
316353	0	0
316453	0	0
316553	0	0
316653	0	0
316753	0	0
316853	0	0
316953	0	0
317053	0	0
317153	0	0
317253	0	0
317353	0	0
317453	0	0
317553	0	0
317653	0	0
317753	0	0
317853	0	0
317953	0	0
318053	0	0
318153	0	0
318253	0	0
318353	0	0
318453	0	0
318553	0	0
318653	0	0
318753	0	0
318853	0	0
318953	0	0
319053	0	0
319153	0	0
319254	0	0
319353	0	0
319453	0	0
319653	0	0
319853	0	0
319953	0	0
320053	0	0
320153	0	0
320253	0	0
320353	0	0
320453	0	0
320553	0	0
320653	0	0
320753	0	0
320853	0	0
320953	0	0
321153	0	0
321253	0	0
321353	0	0
321453	0	0
321553	0	0
321653	0	0
321753	0	0
321853	0	0
321953	0	0
322053	0	0
322153	0	0
322253	0	0
322353	0	0
322453	0	0
322553	0	0
322653	0	0
322753	0	0
322853	0	0
322953	0	0
323053	0	0
323153	0	0
323253	0	0
323353	0	0
323453	0	0
323553	0	0
323653	0	0
323754	0	0
323853	0	0
323953	0	0
324053	0	0
324154	0	0
324253	0	0
324353	0	0
324454	0	0
324653	0	0
324753	0	0
324854	0	0
324953	0	0
325053	0	0
325153	0	0
325255	0	0
325353	0	0
325453	0	0
325553	0	0
325653	0	0
325753	0	0
325853	0	0
325953	0	0
326053	0	0
326153	0	0
326253	0	0
326354	0	0
326453	0	0
326553	0	0
326653	0	0
326754	0	0
326853	0	0
326953	0	0
327053	0	0
327154	0	0
327253	0	0
327353	0	0
327553	0	0
327653	0	0
327753	0	0
327953	0	0
328053	0	0
328153	0	0
328254	0	0
328353	0	0
328453	0	0
328553	0	0
328654	0	0
328753	0	0
328853	0	0
328953	0	0
329054	0	0
329153	0	0
329253	0	0
329354	0	0
329453	0	0
329553	0	0
329653	0	0
329754	0	0
329853	0	0
329953	0	0
330054	0	0
330154	0	0
330253	0	0
330353	0	0
330453	0	0
330554	0	0
330653	0	0
330753	0	0
330853	0	0
330954	0	0
331053	0	0
331153	0	0
331254	0	0
331353	0	0
331453	0	0
331553	0	0
331654	0	0
331753	0	0
331853	0	0
331953	0	0
332054	0	0
332153	0	0
332253	0	0
332354	0	0
332453	0	0
332553	0	0
332653	0	0
332754	0	0
332853	0	0
332953	0	0
333053	0	0
333154	0	0
333253	0	0
333353	0	0
333554	0	0
333653	0	0
333754	0	0
333853	0	0
333954	0	0
334053	0	0
334153	0	0
334254	0	0
334353	0	0
334453	0	0
334553	0	0
334654	0	0
334753	0	0
334853	0	0
334953	0	0
335054	0	0
335154	0	0
335253	0	0
335353	0	0
335454	0	0
335553	0	0
335653	0	0
335754	0	0
335854	0	0
335954	0	0
336054	0	0
336154	0	0
336253	0	0
336353	0	0
336453	0	0
336554	0	0
336653	0	0
336753	0	0
336853	0	0
336954	0	0
337053	0	0
337153	0	0
337254	0	0
337354	0	0
337453	0	0
337553	0	0
337654	0	0
337753	0	0
337854	0	0
337953	0	0
338054	0	0
338153	0	0
338253	0	0
338353	0	0
338454	0	0
338554	0	0
338653	0	0
338753	0	0
338854	0	0
338953	0	0
339053	0	0
339154	0	0
339254	0	0
339353	0	0
339453	0	0
339554	0	0
339653	0	0
339753	0	0
339853	0	0
339954	0	0
340054	0	0
340154	0	0
340254	0	0
340354	0	0
340454	0	0
340554	0	0
340654	0	0
340754	0	0
340854	0	0
340954	0	0
341054	0	0
341154	0	0
341254	0	0
341354	0	0
341454	0	0
341554	0	0
341654	0	0
341754	0	0
341854	0	0
341954	0	0
342054	0	0
342154	0	0
342254	0	0
342354	0	0
342454	0	0
342554	0	0
342654	0	0
342754	0	0
342854	0	0
342954	0	0
343054	0	0
343154	0	0
343254	0	0
343354	0	0
343454	0	0
343554	0	0
343654	0	0
343754	0	0
343854	0	0
343954	0	0
344054	0	0
344154	0	0
344254	0	0
344354	0	0
344454	0	0
344554	0	0
344654	0	0
344754	0	0
344854	0	0
344954	0	0
345054	0	0
345154	0	0
345254	0	0
345354	0	0
345454	0	0
345554	0	0
345654	0	0
345754	0	0
345854	0	0
345954	0	0
346054	0	0
346154	0	0
346254	0	0
346354	0	0
346454	0	0
346554	0	0
346654	0	0
346754	0	0
346854	0	0
346954	0	0
347054	0	0
347154	0	0
347254	0	0
347354	0	0
347454	0	0
347554	0	0
347654	0	0
347754	0	0
347854	0	0
347954	0	0
348054	0	0
348154	0	0
348254	0	0
348354	0	0
348454	0	0
348554	0	0
348654	0	0
348754	0	0
348854	0	0
348954	0	0
349054	0	0
349154	0	0
349254	0	0
349354	0	0
349454	0	0
349554	0	0
349654	0	0
349754	0	0
349954	0	0
350154	0	0
350254	0	0
350354	0	0
350454	0	0
350554	0	0
350654	0	0
350754	0	0
350854	0	0
350954	0	0
351054	0	0
351154	0	0
351254	0	0
351354	0	0
351454	0	0
351554	0	0
351654	0	0
351754	0	0
351854	0	0
351954	0	0
352054	0	0
352154	0	0
352254	0	0
352354	0	0
352454	0	0
352554	0	0
352654	0	0
352754	0	0
352854	0	0
352954	0	0
353057	0	0
353154	0	0
353254	0	0
353354	0	0
353454	0	0
353554	0	0
353654	0	0
353754	0	0
353854	0	0
353954	0	0
354054	0	0
354154	0	0
354254	0	0
354354	0	0
354454	0	0
354554	0	0
354654	0	0
354754	0	0
354854	0	0
354954	0	0
355054	0	0
355154	0	0
355254	0	0
355354	0	0
355454	0	0
355554	0	0
355654	0	0
355754	0	0
355854	0	0
355954	0	0
356154	0	0
356254	0	0
356354	0	0
356454	0	0
356554	0	0
356654	0	0
356754	0	0
356854	0	0
356954	0	0
357054	0	0
357154	0	0
357254	0	0
357354	0	0
357454	0	0
357554	0	0
357654	0	0
357754	0	0
357854	0	0
357954	0	0
358054	0	0
358154	0	0
358254	0	0
358354	0	0
358454	0	0
358554	0	0
358654	0	0
358754	0	0
358854	0	0
358954	0	0
359054	0	0
359154	0	0
359254	0	0
359354	0	0
