timestamp	meters	rotations	angle	clock_period
307451	0	0	0	0
307551	0	0	0	0
307651	0	0	0	0
307751	0	0	0	0
307851	0	0	0	0
307986	0	0	0	0
308051	0	0	0	0
308151	0	0	0	0
308251	0	0	0	0
308351	0	0	0	0
308451	0	0	0	0
308551	0	0	0	0
308651	0	0	0	0
308751	0	0	0	0
308851	0	0	0	0
308951	0	0	0	0
309051	0	0	0	0
309151	0	0	0	0
309251	0	0	0	0
309351	0	0	0	0
309451	0	0	0	0
309551	0	0	0	0
309651	0	0	0	0
309751	0	0	0	0
309851	0	0	0	0
309951	0	0	0	0
310051	0	0	0	0
310151	0	0	0	0
310251	0	0	0	0
310351	0	0	0	0
310451	0	0	0	0
310551	0	0	0	0
310651	0	0	0	0
310751	0	0	0	0
310851	0	0	0	0
310951	0	0	0	0
311052	0	0	0	0
311151	0	0	0	0
311251	0	0	0	0
311351	0	0	0	0
311451	0	0	0	0
311551	0	0	0	0
311651	0	0	0	0
311751	0	0	0	0
311851	0	0	0	0
311951	0	0	0	0
312051	0	0	0	0
312151	0	0	0	0
312251	0	0	0	0
312351	0	0	0	0
312451	0	0	0	0
312551	0	0	0	0
312651	0	0	0	0
312751	0	0	0	0
312851	0	0	0	0
312951	0	0	0	0
313051	0	0	0	0
313151	0	0	0	0
313251	0	0	0	0
313351	0	0	0	0
313451	0	0	0	0
313551	0	0	0	0
313651	0	0	0	0
313851	0	0	0	0
313951	0	19	0	0
314051	0	0	0	0
314151	0	0	0	0
314251	0	0	0	0
314351	0	0	0	0
314451	0	0	0	0
314551	0	0	0	0
314651	0	0	0	0
314751	0	0	0	0
314851	0	0	0	0
314951	0	0	0	0
315051	0	0	0	0
315151	0	0	0	0
315251	0	0	0	0
315351	0	0	0	0
315451	0	0	0	0
315551	0	0	0	0
315651	0	0	0	0
315751	0	0	0	0
315851	0	0	0	0
315951	0	0	0	0
316051	0	0	0	0
316151	0	0	0	0
316251	0	0	0	0
316351	0	0	0	0
316451	0	0	0	0
316551	0	0	0	0
316651	0	19	0	0
316751	0	0	0	0
316851	0	0	0	0
316951	0	0	0	0
317051	0	0	0	0
317151	0	0	0	0
317251	0	0	0	0
317351	0	0	0	0
317451	0	0	0	0
317551	0	0	0	0
317652	0	0	0	0
317751	0	0	0	0
317851	0	0	0	0
317951	0	0	0	0
318051	0	0	0	0
318151	0	0	0	0
318251	0	0	0	0
318451	0	0	0	0
318651	0	0	0	0
318751	0	0	0	0
318851	0	0	0	0
319051	0	0	0	0
319151	0	0	0	0
319252	0	0	0	0
319351	0	0	0	0
319451	0	0	0	0
319551	0	0	0	0
319651	0	0	0	0
319751	0	0	0	0
319851	0	0	0	0
319952	0	0	0	0
320051	0	0	0	0
320151	0	0	0	0
320251	0	0	0	0
320352	0	19	0	0
320451	0	0	0	0
320551	0	0	0	0
320651	0	0	0	0
320751	0	0	0	0
320851	0	0	0	0
320951	0	0	0	0
321051	0	0	0	0
321151	0	0	0	0
321251	0	0	0	0
321351	0	0	0	0
321451	0	0	0	0
321551	0	0	0	0
321651	0	0	0	0
321751	0	0	0	0
321851	0	0	0	0
321951	0	0	0	0
322051	0	0	0	0
322151	0	0	0	0
322251	0	0	0	0
322351	0	0	0	0
322451	0	0	0	0
322551	0	0	0	0
322651	0	0	0	0
322751	0	0	0	0
322851	0	0	0	0
322951	0	0	0	0
323051	0	0	0	0
323151	0	0	0	0
323251	0	0	0	0
323351	0	0	0	0
323451	0	0	0	0
323551	0	0	0	0
323651	0	0	0	0
323751	0	0	0	0
323851	0	0	0	0
323951	0	0	0	0
324051	0	0	0	0
324152	0	0	0	0
324251	0	0	0	0
324351	0	0	0	0
324451	0	0	0	0
324551	0	0	0	0
324651	0	0	0	0
324751	0	0	0	0
324852	0	0	0	0
324951	0	0	0	0
325051	0	0	0	0
325151	0	0	0	0
325251	0	19	0	0
325351	0	0	0	0
325451	0	0	0	0
325551	0	0	0	0
325651	0	0	0	0
325751	0	0	0	0
325851	0	0	0	0
325951	0	0	0	0
326051	0	0	0	0
326151	0	0	0	0
326251	0	0	0	0
326351	0	0	0	0
326451	0	0	0	0
326551	0	0	0	0
326651	0	0	0	0
326752	0	0	0	0
326851	0	0	0	0
326951	0	0	0	0
327051	0	0	0	0
327152	0	0	0	0
327251	0	0	0	0
327351	0	0	0	0
327451	0	0	0	0
327552	0	0	0	0
327651	0	0	0	0
327751	0	0	0	0
327852	0	0	0	0
327951	0	0	0	0
328051	0	0	0	0
328151	0	0	0	0
328252	0	0	0	0
328351	0	0	0	0
328451	0	0	0	0
328551	0	0	0	0
328652	0	0	0	0
328751	0	0	0	0
328952	0	0	0	0
329151	0	0	0	0
329352	0	0	0	0
329451	0	0	0	0
329551	0	0	0	0
329651	0	0	0	0
329752	0	0	0	0
329851	0	0	0	0
329951	0	0	0	0
330052	0	0	0	0
330152	0	0	0	0
330251	0	0	0	0
330351	0	0	0	0
330451	0	0	0	0
330552	0	0	0	0
330651	0	0	0	0
330751	0	0	0	0
330853	0	0	0	0
330951	0	0	0	0
331051	0	0	0	0
331151	0	0	0	0
331252	0	0	0	0
331351	0	0	0	0
331451	0	0	0	0
331551	0	0	0	0
331652	0	0	0	0
331751	0	0	0	0
331851	0	0	0	0
331951	0	0	0	0
332052	0	0	0	0
332151	0	0	0	0
332251	0	0	0	0
332351	0	0	0	0
332451	0	0	0	0
332551	0	0	0	0
332651	0	0	0	0
332752	0	0	0	0
332851	0	0	0	0
332951	0	0	0	0
333051	0	0	0	0
333152	0	0	0	0
333251	0	0	0	0
333351	0	0	0	0
333451	0	0	0	0
333552	0	0	0	0
333651	0	0	0	0
333751	0	0	0	0
333851	0	0	0	0
333952	0	0	0	0
334051	0	0	0	0
334151	0	0	0	0
334252	0	0	0	0
334351	0	0	0	0
334451	0	0	0	0
334551	0	0	0	0
334652	0	0	0	0
334751	0	0	0	0
334851	0	0	0	0
334951	0	0	0	0
335052	0	0	0	0
335151	0	0	0	0
335251	0	0	0	0
335351	0	0	0	0
335452	0	0	0	0
335551	0	0	0	0
335651	0	0	0	0
335752	0	0	0	0
335851	0	0	0	0
335953	0	0	0	0
336051	0	0	0	0
336152	0	0	0	0
336251	0	0	0	0
336351	0	0	0	0
336451	0	0	0	0
336552	0	0	0	0
336651	0	0	0	0
336751	0	0	0	0
336852	0	0	0	0
336952	0	0	0	0
337051	0	0	0	0
337152	0	0	0	0
337252	0	0	0	0
337352	0	0	0	0
337451	0	0	0	0
337552	0	0	0	0
337652	0	0	0	0
337751	0	0	0	0
337852	0	0	0	0
337951	0	0	0	0
338052	0	0	0	0
338151	0	0	0	0
338252	0	0	0	0
338351	0	0	0	0
338452	0	0	0	0
338552	0	0	0	0
338651	0	0	0	0
338752	0	0	0	0
338852	0	0	0	0
338951	0	0	0	0
339051	0	0	0	0
339152	0	0	0	0
339252	0	0	0	0
339351	0	0	0	0
339451	0	0	0	0
339552	0	0	0	0
339651	0	0	0	0
339751	0	0	0	0
339851	0	0	0	0
339952	0	0	0	0
340051	0	0	0	0
340152	0	0	0	0
340252	0	0	0	0
340352	0	0	0	0
340452	0	0	0	0
340552	0	0	0	0
340652	0	0	0	0
340752	0	0	0	0
340852	0	0	0	0
340952	0	0	0	0
341053	0	0	0	0
341152	0	0	0	0
341252	0	0	0	0
341352	0	0	0	0
341452	0	0	0	0
341552	0	0	0	0
341652	0	0	0	0
341752	0	0	0	0
341852	0	0	0	0
341952	0	0	0	0
342052	0	0	0	0
342152	0	0	0	0
342252	0	0	0	0
342352	0	0	0	0
342452	0	0	0	0
342552	0	0	0	0
342652	0	0	0	0
342752	0	0	0	0
342852	0	0	0	0
342952	0	0	0	0
343052	0	0	0	0
343152	0	0	0	0
343252	0	0	0	0
343352	0	0	0	0
343452	0	0	0	0
343552	0	0	0	0
343652	0	0	0	0
343752	0	0	0	0
343852	0	0	0	0
343952	0	0	0	0
344052	0	0	0	0
344152	0	0	0	0
344252	0	0	0	0
344352	0	0	0	0
344452	0	0	0	0
344552	0	0	0	0
344652	0	0	0	0
344752	0	0	0	0
344852	0	0	0	0
344952	0	0	0	0
345052	0	0	0	0
345152	0	0	0	0
345252	0	0	0	0
